Player,Game Week,Position,Team,League,Minutes,Rating
Wout Faes,J2,DF,Leicester City,Premier League,90.0,7.47
Jannik Vestergaard,J2,DF,Leicester City,Premier League,90.0,6.5
James Justin,J2,DF,Leicester City,Premier League,90.0,6.6
Jean-Philippe Mateta,J2,FW,Crystal Palace,Premier League,90.0,6.46
Eberechi Eze,J2,MO,Crystal Palace,Premier League,90.0,7.4
Odsonne Édouard,J2,MO,Crystal Palace,Premier League,70.0,6.31
Ismaila Sarr,J2,MO,Crystal Palace,Premier League,20.0,6.71
Jefferson Lerma,J2,MF,Crystal Palace,Premier League,62.0,6.81
Daichi Kamada,J2,MF,Crystal Palace,Premier League,28.0,7.38
Adam Wharton,J2,MF,Crystal Palace,Premier League,90.0,7.4
Tyrick Mitchell,J2,DF,Crystal Palace,Premier League,90.0,6.9
Daniel Muñoz,J2,DF,Crystal Palace,Premier League,90.0,6.75
Chadi Riad,J2,DF,Crystal Palace,Premier League,90.0,7.42
Marc Guéhi,J2,DF,Crystal Palace,Premier League,90.0,7.28
Chris Richards,J2,DF,Crystal Palace,Premier League,81.0,5.74
Michail Antonio,J2,FW,West Ham,Premier League,61.0,6.17
Aaron Wan-Bissaka,J2,DF,West Ham,Premier League,29.0,5.44
Mohammed Kudus,J2,MO,West Ham,Premier League,88.0,6.5
Lucas Paquetá,J2,MF,West Ham,Premier League,90.0,6.99
Tomáš Souček,J2,MF,West Ham,Premier League,77.0,6.47
Jarrod Bowen,J2,MO,West Ham,Premier League,90.0,7.41
Guido Rodríguez,J2,MF,West Ham,Premier League,90.0,6.45
Emerson Palmieri,J2,DF,West Ham,Premier League,88.0,6.83
Max Kilman,J2,DF,West Ham,Premier League,90.0,7.7
Konstantinos Mavropanos,J2,DF,West Ham,Premier League,90.0,7.39
Vladimír Coufal,J2,DF,West Ham,Premier League,62.0,5.05
Niclas Füllkrug,J2,FW,West Ham,Premier League,28.0,6.51
Ollie Watkins,J2,FW,Aston Villa,Premier League,64.0,6.34
Jáder Durán,J2,FW,Aston Villa,Premier League,26.0,6.46
Morgan Rogers,J2,FW,Aston Villa,Premier League,90.0,6.72
John McGinn,J2,MO,Aston Villa,Premier League,64.0,5.5
Jacob Ramsey,J2,MO,Aston Villa,Premier League,26.0,6.81
Youri Tielemans,J2,MF,Aston Villa,Premier League,90.0,6.42
Amadou Onana,J2,MF,Aston Villa,Premier League,75.0,5.46
Leon Bailey,J2,MO,Aston Villa,Premier League,90.0,6.0
Lucas Digne,J2,DF,Aston Villa,Premier League,75.0,6.96
Pau Torres,J2,DF,Aston Villa,Premier League,90.0,5.72
Ezri Konsa,J2,DF,Aston Villa,Premier League,90.0,6.51
Kosta Nedeljković,J2,DF,Aston Villa,Premier League,75.0,5.3
Kai Havertz,J2,FW,Arsenal,Premier League,90.0,6.19
Gabriel Martinelli,J2,MO,Arsenal,Premier League,64.0,6.44
Leandro Trossard,J2,MO,Arsenal,Premier League,26.0,7.6
Bukayo Saka,J2,MO,Arsenal,Premier League,87.0,7.02
Declan Rice,J2,MO,Arsenal,Premier League,90.0,6.64
Thomas Partey,J2,MF,Arsenal,Premier League,90.0,7.45
Martin Ødegaard,J2,MO,Arsenal,Premier League,90.0,7.35
Jurriën Timber,J2,DF,Arsenal,Premier League,78.0,5.38
Gabriel Magalhães,J2,DF,Arsenal,Premier League,90.0,6.79
William Saliba,J2,DF,Arsenal,Premier League,90.0,7.14
Ben White,J2,DF,Arsenal,Premier League,90.0,5.35
Jørgen Strand Larsen,J2,FW,Wolves,Premier League,90.0,7.13
Jean-Ricner Bellegarde,J2,MO,Wolves,Premier League,67.0,5.9
Rodrigo Gomes,J2,MO,Wolves,Premier League,23.0,5.65
Hwang Hee-chan,J2,MO,Wolves,Premier League,58.0,5.48
Daniel Podence,J2,MO,Wolves,Premier League,32.0,5.83
Matheus Cunha,J2,MO,Wolves,Premier League,67.0,7.45
Pablo Sarabia,J2,MO,Wolves,Premier League,23.0,6.6
Mario Lemina,J2,MF,Wolves,Premier League,89.0,6.16
João Gomes,J2,MF,Wolves,Premier League,90.0,7.01
Rayan Aït-Nouri,J2,DF,Wolves,Premier League,66.0,5.65
Craig Dawson,J2,DF,Wolves,Premier League,24.0,5.24
Toti Gomes,J2,DF,Wolves,Premier League,90.0,6.26
Yerson Mosquera,J2,DF,Wolves,Premier League,90.0,7.31
Matt Doherty,J2,DF,Wolves,Premier League,90.0,7.59
Nicolas Jackson,J2,FW,Chelsea,Premier League,67.0,7.6
João Félix,J2,MO,Chelsea,Premier League,23.0,7.35
Mykhailo Mudryk,J2,MO,Chelsea,Premier League,45.0,5.74
Pedro Neto,J2,MO,Chelsea,Premier League,45.0,6.76
Noni Madueke,J2,MO,Chelsea,Premier League,90.0,8.01
Cole Palmer,J2,MO,Chelsea,Premier League,82.0,8.82
Enzo Fernández,J2,MF,Chelsea,Premier League,90.0,7.16
Moisés Caicedo,J2,MF,Chelsea,Premier League,75.0,6.37
Marc Cucurella,J2,DF,Chelsea,Premier League,82.0,6.66
Levi Colwill,J2,DF,Chelsea,Premier League,90.0,6.82
Wesley Fofana,J2,DF,Chelsea,Premier League,90.0,5.52
Malo Gusto,J2,DF,Chelsea,Premier League,90.0,7.22
Florian Thauvin,J11,FW,Udinese,Serie A,67.0,6.7
Lorenzo Lucca,J11,FW,Udinese,Serie A,23.0,6.49
Keinan Davis,J11,FW,Udinese,Serie A,90.0,6.62
Martín Payero,J11,MF,Udinese,Serie A,90.0,6.36
Jesper Karlström,J11,MF,Udinese,Serie A,90.0,5.69
Sandi Lovrić,J11,MF,Udinese,Serie A,45.0,6.24
Oier Zarraga,J11,MF,Udinese,Serie A,45.0,5.46
Jordan Zemura,J11,DF,Udinese,Serie A,66.0,5.27
Hassane Kamara,J11,DF,Udinese,Serie A,24.0,5.75
Kingsley Ehizibue,J11,DF,Udinese,Serie A,86.0,5.1
Lautaro Gianetti,J11,DF,Udinese,Serie A,90.0,5.82
Jaka Bijol,J11,DF,Udinese,Serie A,90.0,5.27
Christian Kabasele,J11,DF,Udinese,Serie A,45.0,4.71
Enzo Ebosse,J11,DF,Udinese,Serie A,45.0,5.68
Dušan Vlahović,J11,FW,Juventus,Serie A,70.0,6.28
Francisco Conceição,J11,MO,Juventus,Serie A,20.0,5.81
Kenan Yıldız,J11,MO,Juventus,Serie A,90.0,6.81
Timothy Weah,J11,MO,Juventus,Serie A,86.0,6.01
Teun Koopmeiners,J11,MO,Juventus,Serie A,90.0,6.0
Khéphren Thuram,J11,MF,Juventus,Serie A,69.0,7.04
Weston McKennie,J11,MF,Juventus,Serie A,21.0,5.27
Manuel Locatelli,J11,MF,Juventus,Serie A,90.0,6.98
Andrea Cambiaso,J11,DF,Juventus,Serie A,80.0,6.51
Pierre Kalulu,J11,DF,Juventus,Serie A,90.0,5.63
Federico Gatti,J11,DF,Juventus,Serie A,90.0,7.63
Nicolò Savona,J11,DF,Juventus,Serie A,79.0,7.28
Evanilson,J2,FW,Bournemouth,Premier League,71.0,6.6
Marcus Tavernier,J2,MO,Bournemouth,Premier League,84.0,7.03
Antoine Semenyo,J2,MO,Bournemouth,Premier League,90.0,7.45
Justin Kluivert,J2,MO,Bournemouth,Premier League,71.0,6.3
Ryan Christie,J2,MF,Bournemouth,Premier League,63.0,6.49
Alex Scott,J2,MF,Bournemouth,Premier League,27.0,5.57
Lewis Cook,J2,MF,Bournemouth,Premier League,90.0,7.21
Milos Kerkez,J2,DF,Bournemouth,Premier League,90.0,6.17
Marcos Senesi,J2,DF,Bournemouth,Premier League,90.0,7.39
Illia Zabarnyi,J2,DF,Bournemouth,Premier League,90.0,6.77
Julian Araujo,J2,DF,Bournemouth,Premier League,85.0,5.5
Alexander Isak,J2,FW,Newcastle Utd,Premier League,90.0,6.91
Anthony Gordon,J2,MO,Newcastle Utd,Premier League,88.0,7.49
Jacob Murphy,J2,MO,Newcastle Utd,Premier League,57.0,5.9
Harvey Barnes,J2,MO,Newcastle Utd,Premier League,33.0,7.6
Joelinton,J2,MO,Newcastle Utd,Premier League,90.0,6.44
Bruno Guimarães,J2,MF,Newcastle Utd,Premier League,90.0,7.73
Sean Longstaff,J2,MO,Newcastle Utd,Premier League,69.0,5.72
Joe Willock,J2,MO,Newcastle Utd,Premier League,21.0,6.67
Lloyd Kelly,J2,DF,Newcastle Utd,Premier League,68.0,5.93
Lewis Hall,J2,DF,Newcastle Utd,Premier League,22.0,6.41
Dan Burn,J2,DF,Newcastle Utd,Premier League,90.0,7.53
Emil Krafth,J2,DF,Newcastle Utd,Premier League,90.0,6.38
Valentino Livramento,J2,DF,Newcastle Utd,Premier League,57.0,6.65
Kieran Trippier,J2,DF,Newcastle Utd,Premier League,33.0,6.76
Diogo Jota,J2,FW,Liverpool,Premier League,71.0,7.17
Luis Díaz,J2,MO,Liverpool,Premier League,71.0,8.24
Mohamed Salah,J2,MO,Liverpool,Premier League,82.0,7.78
Dominik Szoboszlai,J2,MO,Liverpool,Premier League,90.0,6.98
Alexis Mac Allister,J2,MF,Liverpool,Premier League,90.0,7.07
Ryan Gravenberch,J2,MF,Liverpool,Premier League,89.0,7.63
Andrew Robertson,J2,DF,Liverpool,Premier League,90.0,5.92
Virgil van Dijk,J2,DF,Liverpool,Premier League,90.0,6.69
Ibrahima Konaté,J2,DF,Liverpool,Premier League,90.0,7.36
Trent Alexander-Arnold,J2,DF,Liverpool,Premier League,71.0,6.49
Yoane Wissa,J2,FW,Brentford,Premier League,72.0,5.63
Bryan Mbeumo,J2,FW,Brentford,Premier League,90.0,6.46
Keane Lewis-Potter,J2,MO,Brentford,Premier League,65.0,6.27
Mikkel Damsgaard,J2,MO,Brentford,Premier League,25.0,5.67
Vitaly Janelt,J2,MF,Brentford,Premier League,72.0,5.83
Christian Nørgaard,J2,MF,Brentford,Premier League,90.0,6.03
Mathias Jensen,J2,MO,Brentford,Premier League,65.0,6.04
Fabio Carvalho,J2,MO,Brentford,Premier League,25.0,5.65
Kristoffer Ajer,J2,DF,Brentford,Premier League,90.0,6.14
Ethan Pinnock,J2,DF,Brentford,Premier League,90.0,6.4
Nathan Collins,J2,DF,Brentford,Premier League,90.0,6.25
Mads Roerslev,J2,DF,Brentford,Premier League,90.0,5.89
Kai Havertz,J3,FW,Arsenal,Premier League,90.0,7.49
Leandro Trossard,J3,MO,Arsenal,Premier League,58.0,6.5
Riccardo Calafiori,J3,DF,Arsenal,Premier League,32.0,4.57
Bukayo Saka,J3,MO,Arsenal,Premier League,90.0,7.39
Declan Rice,J3,MO,Arsenal,Premier League,48.0,5.79
Thomas Partey,J3,MF,Arsenal,Premier League,90.0,5.65
Martin Ødegaard,J3,MO,Arsenal,Premier League,73.0,6.48
Jurriën Timber,J3,DF,Arsenal,Premier League,79.0,6.12
Gabriel Magalhães,J3,DF,Arsenal,Premier League,90.0,6.28
William Saliba,J3,DF,Arsenal,Premier League,90.0,7.11
Ben White,J3,DF,Arsenal,Premier League,90.0,7.11
Danny Welbeck,J3,FW,Brighton,Premier League,84.0,5.63
Kaoru Mitoma,J3,MO,Brighton,Premier League,84.0,6.55
Yankuba Minteh,J3,MO,Brighton,Premier League,71.0,6.24
João Pedro,J3,MO,Brighton,Premier League,90.0,7.61
Carlos Baleba,J3,MF,Brighton,Premier League,90.0,6.68
Yasin Ayari,J3,MF,Brighton,Premier League,74.0,5.76
Jack Hinshelwood,J3,DF,Brighton,Premier League,90.0,6.52
