Player,Game Week,Position,Team,League,Minutes,Rating
Josip Condric,J4,GK,Astana FK,UEFA Europa Conference League,90,7.09
Bruno Varela,J4,GK,Vitória,UEFA Europa Conference League,90,6.29
Aleksei Ploshchadnyi,J4,GK,FC Noah,UEFA Europa Conference League,90,7.57
Ingvar Jónsson,J4,GK,KV,UEFA Europa Conference League,90,7.68
Yann Sommer,J3,GK,Inter,Italian Serie A,90,7.14
Marco Carnesecchi,J3,GK,Atalanta,Italian Serie A,90,5.04
Stefano Turati,J23,GK,Monza,Italian Serie A,66,5.64
Lorenzo Montipò,J23,GK,Hellas Verona,Italian Serie A,90,7.24
Fabiano,J4,GK,AC Omonia,UEFA Europa Conference League,90,5.21
Gabriel Kobylak,J4,GK,Legia Warsaw,UEFA Europa Conference League,90,7.64
Ingvar Jónsson,J5,GK,KV,UEFA Europa Conference League,90,5.74
Jacob Rinne,J5,GK,Djurgården,UEFA Europa Conference League,90,5.91
Tommaso Martinelli,J5,GK,Fiorentina,UEFA Europa Conference League,90,7.51
Lukas Jungwirth,J5,GK,LASK,UEFA Europa Conference League,90,5.47
Matevž Vidovšek,J5,GK,Olimpija,UEFA Europa Conference League,90,5.9
Maxime Delanghe,J5,GK,Cercle Brugge,UEFA Europa Conference League,90,6.53
Nathan Trott,J5,GK,FC Copenhagen,UEFA Europa Conference League,90,6.84
Craig Gordon,J5,GK,Hearts,UEFA Europa Conference League,90,6.42
Gabriel Kobylak,J5,GK,Legia Warsaw,UEFA Europa Conference League,90,6.47
Amir Saipi,J5,GK,Lugano,UEFA Europa Conference League,90,6.31
Thijmen Nijhuis,J5,GK,HJK,UEFA Europa Conference League,90,5.61
Albert Posiadala,J5,GK,Molde,UEFA Europa Conference League,90,5.82
Silviu Șmalenea,J5,GK,Petrocub,UEFA Europa Conference League,90,6.59
Adrián,J5,GK,Betis,UEFA Europa Conference League,90,7.21
Connor Roberts,J5,GK,The New Saints,UEFA Europa Conference League,90,6.18
Bartłomiej Drągowski,J5,GK,Panathinaikos,UEFA Europa Conference League,90,7.44
Léon-Maurice Pöhls,J5,GK,Shamrock Rov,UEFA Europa Conference League,90,7.47
Filip Manojlović,J5,GK,Borac Banja Luka,UEFA Europa Conference League,90,6.23
Razvan Sava,J23,GK,Udinese,Italian Serie A,90,5.58
Jesse Joronen,J23,GK,Venezia,Italian Serie A,73,5.29
Muhammed Şengezer,J5,GK,Başakşehir,UEFA Europa Conference League,90,6.78
Vitus Eicher,J5,GK,Heidenheim,UEFA Europa Conference League,90,5.57
Fyodor Lapoukhov,J5,GK,Dinamo Minsk,UEFA Europa Conference League,90,7.53
Rohan Ferguson,J5,GK,Larne FC,UEFA Europa Conference League,90,6.02
Lawrence Ati-Zigi,J5,GK,St. Gallen,UEFA Europa Conference League,90,5.84
Bruno Varela,J5,GK,Vitória,UEFA Europa Conference League,90,7.1
Matouš Trmal,J5,GK,Mladá Boleslav,UEFA Europa Conference League,90,7.36
Sławomir Abramowicz,J5,GK,Jagiellonia,UEFA Europa Conference League,90,6.55
Davy Roef,J5,GK,Gent,UEFA Europa Conference League,90,7.49
Veljko Ilic,J5,GK,TSC Bačka Top,UEFA Europa Conference League,90,6.09
Mukhammedzhan Seysen,J5,GK,Astana FK,UEFA Europa Conference League,90,5.7
Filip Jørgensen,J5,GK,Chelsea,UEFA Europa Conference League,90,6.21
Aleksei Ploshchadnyi,J5,GK,FC Noah,UEFA Europa Conference League,90,5.37
Vid Belec,J5,GK,APOEL,UEFA Europa Conference League,90,7.09
Ivica Ivušić,J5,GK,Pafos FC,UEFA Europa Conference League,90,7.47
Matjaž Rozman,J5,GK,NK Celje,UEFA Europa Conference League,90,5.48
Francis Uzoho,J5,GK,AC Omonia,UEFA Europa Conference League,90,7.04
Niklas Hedl,J5,GK,Rapid Wien,UEFA Europa Conference League,90,5.91
Craig Gordon,J6,GK,Hearts,UEFA Europa Conference League,90,5.82
Silviu Șmalenea,J6,GK,Petrocub,UEFA Europa Conference League,90,6.59
Rui Patrício,J23,GK,Atalanta,Italian Serie A,90,6.58
Vanja Milinković-Savić,J23,GK,Torino,Italian Serie A,90,7.03
Rohan Ferguson,J6,GK,Larne FC,UEFA Europa Conference League,90,7.9
Davy Roef,J6,GK,Gent,UEFA Europa Conference League,90,6.0
Bruno Varela,J6,GK,Vitória,UEFA Europa Conference League,90,6.46
