Player,Nation,Position,Team,Age,Born,Matches Played,Starts,Minutes Played,Offensive Index,Passing Index,Possession Index,Defensive Index
Edicson Tamiche,ve VEN,DF,ve Dep Táchira,20-052,2005,4,4,214,37,16,59,49
Edinson Cavani,uy URU,FW,Boca Juniors,38-155,1987,11,10,855,40,46,27,59
Edison Flores,pe PER,FW,pe Universitario,31-066,1994,6,6,460,52,82,59,64
Edisson Jordanov,bg BUL,DF,Westerlo,31,1993,4,0,73,62,57,73,65
Edo Kayembe,cd COD,MO,Watford,26,1998,44,37,3196,50,44,23,47
Edoardo Contiero,it ITA,MF,Cosenza,18,2006,1,0,3,52,42,36,6
Edoardo Duca,it ITA,MF,Modena,27,1997,18,4,575,52,75,89,47
Edoardo Iannoni,it ITA,MF,Sassuolo,23,2001,22,10,989,64,69,55,71
Edoardo Masciangelo,it ITA,DF,Cittadella,28,1996,35,30,2677,81,84,90,41
Edoardo Motta,it ITA,GK,Reggiana,19,2005,2,2,180,59,36,45,47
Edoardo Pieragnolo,it ITA,DF,Sassuolo,21,2003,20,13,1195,53,79,80,30
Edoardo Soleri,it ITA,FW,Spezia,26,1997,20,9,867,44,49,31,61
Edoardo Sottini,it ITA,DF,Cittadella,21,2002,2,1,74,29,35,17,43
Edoardo Vergani,it ITA,FW,Südtirol,23,2001,1,1,45,44,36,26,16
Edouard Michut,fr FRA,MO,Fortuna Sittard,21,2003,18,12,1028,32,27,17,84
Edson,br BRA,DF,FC Juárez,26,1998,13,6,523,48,58,69,68
Edson Carioca,br BRA,FW,Mirassol,28-015,1997,11,8,634,64,79,67,62
Edson Gutiérrez,mx MEX,DF,Santos,28,1996,20,19,1641,71,56,45,57
Edson Tortolero,ve VEN,FW,ve Carabobo,27-164,1998,5,4,331,44,48,75,73
Eduard Atuesta,co COL,MF,Orlando City,28-031,1997,17,15,1352,54,90,65,37
Eduard Löwen,de GER,MF,St. Louis,28-172,1997,8,6,481,84,83,44,60
Eduardo Aguirre,mx MEX,MO,Atlas,25,1998,30,25,2195,60,31,19,37
Eduardo Armenta,mx MEX,MF,Querétaro,22,2001,6,3,206,32,21,37,63
Eduardo Felicíssimo,pt POR,MF,Sporting CP,17,2007,6,2,195,20,24,24,86
Eduardo Gabriel,br BRA,DF,Pachuca,28,1996,15,14,1292,32,49,27,57
Eduardo García,mx MEX,GK,Guadalajara,22,2002,2,2,180,40,45,45,33
Eduardo Quaresma,pt POR,DF,Sporting CP,22,2002,20,18,1391,70,65,78,59
Eduardo Salvio,ar ARG,FW,Lanús,35-006,1990,17,15,1194,59,74,78,76
Eduardo Santos,br BRA,MF,RB Bragantino,27-233,1997,5,1,176,31,21,20,71
Eduardo Sasha,br BRA,MO,RB Bragantino,33-145,1992,14,13,1014,56,46,31,33
Eduardo Tercero,mx MEX,DF,UANL,28,1996,1,0,39,29,15,9,22
Eduardo Vargas,cl CHI,MO,uy Nacional,35-241,1989,4,3,212,18,22,15,63
Eduardo Águila,mx MEX,DF,Atlético,22,2002,31,30,2701,32,31,38,48
Edvard Sandvik Tagseth,no NOR,MF,Nashville SC,24-177,2001,22,21,1835,38,66,38,55
Edward Davis,us USA,FW,Philadelphia Union,19-032,2006,1,0,3,24,12,45,11
Edwin Cardona,co COL,MO,co Nacional,32-223,1992,5,4,350,36,68,44,30
Edwin Cerrillo,us USA,MF,LA Galaxy,24-289,2000,21,21,1737,29,57,44,25
Edwin Fabricio Castro Barros,co COL,MF,co CA Bucaramanga,33-148,1992,6,6,540,32,35,33,62
Edwin Mosquera,co COL,MO,Atlanta Utd,24-022,2001,10,0,156,69,46,90,57
Edwuin Cetré,co COL,MF,ar Estudiantes–LP,27-199,1998,18,5,659,89,55,90,30
Edwuin Pernía,ve VEN,MO,San Martín de San Juan,30-157,1995,6,1,167,29,12,46,22
Efrain Alvarez,mx MEX,MO,Tijuana,22,2002,30,26,2239,76,86,74,39
Efrain Morales,bo BOL,DF,Atlanta Utd,21-137,2004,4,4,360,37,65,46,70
Efraín Orona,mx MEX,DF,Puebla,25,1999,34,31,2803,53,35,40,56
Egil Selvik,no NOR,GK,Watford,27,1997,16,16,1440,48,50,70,76
Eiran Cashin,ie IRL,DF,Derby County,22,2001,21,21,1786,56,44,43,83
Elayis Tavsan,nl NED,MO,Cesena,23,2001,28,8,1141,74,56,73,45
Elhan Kastrati,al ALB,GK,Cittadella,27,1997,29,29,2565,49,41,54,47
Elian Irala,ar ARG,MF,San Lorenzo,21-013,2004,15,15,1126,25,39,36,57
Eliano Reijnders,id IDN,DF,Zwolle,23,2000,21,11,1207,81,62,76,48
Eliaquim Mangala,fr FRA,DF,Estoril,33,1991,9,4,424,34,17,27,64
Elias Manoel,br BRA,MO,Botafogo (RJ),23-231,2001,5,0,77,45,36,33,24
Elias Montiel,mx MEX,MF,Pachuca,18,2005,27,25,2217,65,78,73,62
Elias Sørensen,dk DEN,MO,Portsmouth,24,1999,12,4,322,41,18,13,64
Eliezer Mayenda,es ESP,MO,Sunderland,19,2005,37,22,2155,62,42,63,23
Elijah Adebayo,eng ENG,FW,Luton Town,26,1998,39,31,2425,46,31,51,58
Elijah Dijkstra,nl NED,DF,AZ Alkmaar,17,2006,2,1,92,43,62,71,24
Elijah Dixon-Bonner,eng ENG,MO,QPR,23,2001,3,0,10,23,39,36,6
