Nation,Position,Team,Age,Born,Matches Played,Starts,Minutes Played,Offensive Index,Passing Index,Possession Index,Defensive Index
rs SRB,MO,rs TSC,22,2001,6,6,479,56,74,84,26
ru RUS,MO,Monaco,28,1996,28,19,1727,53,79,66,69
kz KAZ,DF,kz Astana FK,34,1990,4,3,271,24,15,23,30
by BLR,MF,by Dinamo Minsk,32,1992,4,3,257,23,31,28,65
kz KAZ,GK,kz Astana FK,30,1993,1,1,90,42,41,41,33
az AZE,MF,az Qarabağ,28,1995,1,0,7,20,19,10,6
ru RUS,GK,am FC Noah,20,2004,3,3,270,42,43,43,70
ba BIH,MF,sk Slovan Bratislava,25,1999,4,0,35,55,69,30,54
al ALB,GK,Cagliari,26,1997,7,7,621,55,52,43,56
it ITA,DF,Inter,25,1999,46,42,3408,71,85,78,43
it ITA,MF,Monza,21,2002,35,29,2618,40,45,45,48
it ITA,DF,Napoli,25,1999,22,22,1924,57,49,47,65
au AUS,DF,Parma,20,2003,6,6,540,30,25,13,48
it ITA,MF,Cagliari,28,1995,29,16,1432,59,37,40,58
it ITA,FW,Milan,33,1991,1,0,5,17,19,17,12
it ITA,MO,Como,30,1994,15,0,142,73,67,50,19
it ITA,DF,Genoa,21,2002,10,6,400,38,21,26,57
it ITA,DF,Genoa,25,1998,22,18,1487,62,45,42,32
it ITA,MO,Genoa,23,2000,31,19,1711,36,27,46,68
it ITA,MF,Torino,17,2007,2,0,31,51,27,92,32
be BEL,DF,be Union SG,27,1997,2,2,180,68,62,76,58
it ITA,MF,Como,33,1991,10,3,387,34,32,58,38
it ITA,DF,Lazio,29,1995,42,40,3533,70,54,30,51
it ITA,DF,Venezia,25,1999,20,17,1520,81,68,74,52
es ESP,MO,Villarreal,23,2001,32,30,2595,67,87,55,45
ng NGA,MO,Fulham,28,1996,38,35,2981,68,81,78,47
cz CZE,MF,Espanyol,26,1998,37,29,2714,35,36,56,58
ee EST,FW,si Olimpija,23,2001,2,2,179,38,64,47,49
eng ENG,GK,Southampton,34,1989,5,5,450,42,48,44,45
it ITA,GK,Napoli,27,1997,34,34,3005,47,50,53,48
es ESP,GK,Athletic Club,20,2003,5,3,321,42,44,43,47
eng ENG,GK,Ipswich Town,27,1996,13,13,1170,53,61,50,51
eng ENG,MF,Bournemouth,20,2003,20,8,755,56,63,61,67
es ESP,MO,Getafe,25,1999,19,13,1029,25,32,42,63
hu HUN,MF,hu Ferencváros,18,2005,4,1,133,32,49,64,38
dk DEN,DF,pt Benfica,26,1997,7,6,498,88,70,76,65
se SWE,MO,Holstein Kiel,25,1998,19,15,1263,67,43,40,68
gh GHA,DF,tr Fenerbahçe,29,1994,8,6,648,55,45,46,58
se SWE,FW,Newcastle Utd,24,1999,34,34,2756,83,76,70,39
se SWE,FW,gr Panathinaikos,30,1993,5,4,306,62,38,56,54
de GER,GK,Dortmund,33,1991,3,3,270,57,56,48,33
de GER,GK,Stuttgart,27,1996,41,41,3690,64,69,58,62
at AUT,DF,Hoffenheim,23,2001,29,22,1866,62,71,76,44
at AUT,GK,at RB Salzburg,28,1996,4,4,335,57,65,47,49
de GER,GK,Union Berlin,32,1992,6,6,540,54,58,46,42
no NOR,FW,Atlético Madrid,28,1995,43,17,1859,75,52,51,60
cz CZE,MO,cz Viktoria Plzeň,21,2003,7,1,127,33,42,22,81
pt POR,MF,pt Sporting CP,19,2005,1,0,45,20,25,54,28
