Team,Matches Played,Goals,xG,Shots,Shots on Target,Penalties Scored,Penalties Attempted,Shot Creating Actions,Goal Creating Actions,Passes Completed (Total),Passes Attempted (Total),Passes Completed (Short),Passes Attempted (Short),Passes Completed (Medium),Passes Attempted (Medium),Passes Completed (Long),Passes Attempted (Long),Assists,Expected Assists (xAG),Expected Assists (xA),Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Progressive Passes,Progressive Carries,Progressive Runs,Tackles,Tackles Won,Tackles Defensive Third,Tackles Middle Third,Tackles Attacking Third,Challenges Tackled,Challenges Attempted,Challenges Lost,Blocks,Interceptions,Clearances,Errors,Touches,Touches Defensive Penalty Area,Touches Defensive Third,Touches Middle Third,Touches Attacking Third,Touches Attacking Penalty Area,Live-Ball Touches,Take-Ons Attempted,Successful Take-Ons,Carries,Progressive Carries.1,Carries into Final Third,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,Yellow Cards,Red Cards,Second Yellow Cards,Fouls Committed,Fouls Drawn,Offsides,Penalties Won,Penalties Conceded,Own Goals,Ball Recoveries,Aerial Duels Won,Aerial Duels Lost,Age_goal,Goals Against,Shots on Target Against,Saves,Clean Sheets,Penalty Kicks Attempted,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Post-Shot Expected Goals,Launched Passes Completed,Launched Passes Attempted,Passes Attempted (GK),Through Balls,Goal Kicks Attempted,Crosses Opposed,Crosses Stopped,Sweeper Actions
Montpellier,34,23,33.9,371,111,3,4,614,39,11442,14420,4844,5530,4897,5675,1384,2425,13,23.2,23.3,255,875,169,75,1039,529,1030,631,389,302,264,65,310,608,298,368,273,733,25,18133,2072,6036,8263,4032,540,18129,609,262,9615,529,362,138,478,296,11348,1030,87,7,2,427,438,65,3,9,3,1349,374,442,59,79,194,117,1,9,8,1,0,66.1,197,496,900,134,211,463,28,29
Monza,38,27,30.5,333,99,3,3,588,43,14248,17515,5982,6697,6561,7422,1412,2561,18,21.0,17.7,245,895,196,72,1096,533,1081,562,315,304,202,56,272,501,229,382,305,874,38,21338,2852,8271,9181,4056,480,21335,507,220,12954,533,413,89,510,334,14106,1081,90,3,2,512,529,54,0,4,3,1299,567,605,64,69,183,115,3,4,2,2,0,59.8,217,557,1220,157,182,534,26,33
Nantes,34,39,40.0,345,119,5,5,616,64,10999,13956,4741,5379,4886,5607,1116,2236,27,28.6,26.3,257,878,216,85,1053,502,1044,645,376,338,224,83,321,565,244,402,283,1007,10,17874,2137,6120,8089,3839,644,17869,525,227,9492,502,344,141,485,286,10932,1044,71,4,0,413,389,31,3,8,3,1289,426,439,90,52,148,99,6,8,7,0,1,50.9,151,463,859,139,190,588,33,15
Napoli,38,56,53.5,499,150,4,5,882,100,16894,20033,7296,8074,7665,8530,1582,2497,42,39.5,35.3,391,1235,318,76,1546,739,1530,535,323,237,238,60,258,469,211,317,270,813,11,23892,2258,7471,11310,5295,869,23887,611,244,13244,739,443,207,473,326,16735,1530,46,0,0,415,445,55,4,4,2,1435,530,460,77,27,96,69,19,4,1,2,1,29.1,102,251,1158,131,205,438,25,50
Newcastle Utd,38,66,65.0,519,163,5,6,938,115,15416,18898,7416,8283,6475,7373,1193,2313,50,46.5,42.2,399,1149,399,70,1595,759,1583,603,371,275,235,93,306,604,298,411,270,884,34,23032,2284,7468,9671,6124,1082,23026,657,282,13016,759,474,263,491,438,15294,1583,68,1,0,394,450,71,4,2,2,1632,487,466,67,47,161,115,13,2,1,1,0,47.7,90,337,868,246,246,486,49,75
Nice,34,62,64.4,486,183,6,6,861,105,13129,16103,6345,7100,5509,6336,1015,1909,43,43.6,40.6,353,951,321,65,1320,701,1312,633,399,297,242,94,297,534,237,417,365,784,32,20206,2171,6488,9270,4693,843,20200,687,295,10937,701,413,171,540,315,13013,1312,59,5,2,391,417,56,5,3,1,1608,427,402,24,41,161,120,8,3,2,1,0,43.0,112,272,948,173,162,470,39,33
Nott'ham Forest,38,57,46.7,460,162,3,3,798,91,10822,14366,5322,6094,4065,5011,1038,2339,42,33.8,29.6,333,974,241,64,1125,633,1117,698,419,406,225,67,343,670,327,427,322,1220,24,18996,2463,6477,7689,5063,785,18993,581,259,8768,633,384,187,563,324,10733,1117,90,2,2,401,419,91,3,3,0,1588,570,559,32,46,165,119,13,3,3,0,0,49.1,244,698,715,83,270,710,19,12
Osasuna,38,46,45.3,409,123,9,9,726,82,12184,16028,5022,5858,5403,6487,1489,2835,28,30.0,33.3,300,963,265,127,1221,567,1204,614,365,296,239,79,311,618,307,388,266,918,16,20036,2263,6318,8904,5007,737,20027,592,260,10439,567,424,134,532,293,12053,1204,88,0,0,508,379,66,9,7,1,1461,617,515,64,52,187,136,9,7,7,0,0,57.4,296,649,1000,143,287,538,33,86
Paris S-G,34,89,90.6,628,272,6,7,1153,158,23156,25781,10887,11622,10098,10815,1623,2267,69,71.5,61.3,521,1849,450,71,2123,936,2114,619,386,242,266,111,325,607,282,360,265,493,19,29502,1991,6704,14734,8262,1211,29495,802,364,18244,936,702,347,488,329,23027,2114,37,0,0,307,336,54,6,3,1,1654,262,214,73,35,103,69,7,3,3,0,0,30.4,74,188,835,140,139,298,16,34
Parma,38,43,44.3,418,140,6,7,749,73,12509,15805,5238,5993,5643,6511,1289,2504,31,29.5,24.7,316,890,217,59,1059,578,1049,523,293,267,201,55,242,484,242,434,279,977,21,19903,2706,7204,8455,4468,655,19896,587,249,11305,578,416,168,548,297,12339,1049,78,6,3,405,458,31,5,5,2,1365,499,502,55,56,156,102,7,5,5,0,0,53.9,207,685,1313,189,231,635,66,40
