Team,Matches Played,Goals,xG,Shots,Shots on Target,Penalties Scored,Penalties Attempted,Shot Creating Actions,Goal Creating Actions,Passes Completed (Total),Passes Attempted (Total),Passes Completed (Short),Passes Attempted (Short),Passes Completed (Medium),Passes Attempted (Medium),Passes Completed (Long),Passes Attempted (Long),Assists,Expected Assists (xAG),Expected Assists (xA),Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Progressive Passes,Progressive Carries,Progressive Runs,Tackles,Tackles Won,Tackles Defensive Third,Tackles Middle Third,Tackles Attacking Third,Challenges Tackled,Challenges Attempted,Challenges Lost,Blocks,Interceptions,Clearances,Errors,Touches,Touches Defensive Penalty Area,Touches Defensive Third,Touches Middle Third,Touches Attacking Third,Touches Attacking Penalty Area,Live-Ball Touches,Take-Ons Attempted,Successful Take-Ons,Carries,Progressive Carries.1,Carries into Final Third,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,Yellow Cards,Red Cards,Second Yellow Cards,Fouls Committed,Fouls Drawn,Offsides,Penalties Won,Penalties Conceded,Own Goals,Ball Recoveries,Aerial Duels Won,Aerial Duels Lost,Goals Against,Shots on Target Against,Saves,Clean Sheets,Penalty Kicks Attempted,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Post-Shot Expected Goals,Launched Passes Completed,Launched Passes Attempted,Passes Attempted (GK),Through Balls,Goal Kicks Attempted,Crosses Opposed,Crosses Stopped,Sweeper Actions
ar Cen. Córdoba–SdE,6,7,8.8,85,31,1,1,149,13,2007,2571,819,933,935,1079,189,412,6,6.5,4.5,61,165,43,22,206,66,206,129,80,60,51,18,70,132,62,70,38,191,2,3315,317,1000,1682,665,97,3314,83,50,1619,66,49,17,96,49,1997,206,14,0,0,63,55,12,0,0,0,291,97,95,7,18,11,1,0,0,0,0,4.2,10,58,91,19,55,84,3,2
ar Estudiantes–LP,6,11,8.5,82,33,2,2,143,17,2272,2890,962,1096,981,1147,289,509,5,5.1,4.5,60,182,43,15,215,85,213,94,61,34,49,11,37,83,46,58,69,165,2,3607,315,1040,1760,833,122,3605,96,45,2006,85,83,29,109,41,2254,213,19,0,0,78,57,11,1,1,0,273,84,87,5,23,18,4,1,1,0,0,7.0,33,78,115,24,51,95,8,2
ar Racing Club,6,14,10.7,99,41,0,0,167,21,1743,2356,620,725,796,970,281,534,8,7.0,6.5,72,159,54,12,222,95,220,103,66,50,44,9,44,89,45,56,62,178,1,3126,297,958,1397,800,148,3126,95,48,1440,95,65,15,99,38,1728,220,14,0,0,97,60,7,0,0,0,265,84,85,3,14,11,4,0,0,0,0,3.6,16,69,133,10,41,56,4,7
ar River Plate,6,12,12.8,97,38,1,2,174,21,2871,3454,1366,1532,1155,1318,289,449,8,8.5,8.6,79,225,54,11,313,96,308,90,57,34,41,15,46,102,56,51,52,123,2,4172,245,1066,2201,948,147,4170,119,55,2666,96,87,24,134,59,2843,308,14,0,0,86,66,14,2,0,1,305,95,99,7,11,5,2,0,0,0,0,3.2,20,51,95,26,47,51,3,6
ar Talleres,6,5,4.8,92,25,1,1,157,9,2332,2897,997,1122,1089,1266,228,403,4,3.1,3.8,61,205,38,14,254,104,250,97,67,46,36,15,43,84,41,55,32,159,4,3636,311,1065,1742,868,101,3635,134,60,1937,104,70,24,109,50,2317,250,16,0,0,67,71,12,1,1,0,270,87,95,8,22,13,2,1,0,1,0,9.1,20,42,133,31,32,66,5,6
ar Vélez Sarsfield,6,11,9.3,82,30,2,2,150,19,2084,2791,860,1032,948,1159,234,433,7,5.9,4.0,61,187,47,15,265,108,264,128,81,54,57,17,65,123,58,82,56,179,0,3674,289,1010,1772,936,121,3672,160,68,1718,108,82,18,124,65,2063,264,14,0,0,89,62,12,2,0,2,297,100,112,4,20,18,3,0,0,0,0,5.2,24,72,91,15,44,71,1,1
bo Bolívar,6,12,9.7,101,32,1,1,179,22,2663,3168,931,1054,1350,1510,345,495,9,6.9,5.1,77,238,52,17,326,119,321,67,40,33,24,10,31,86,55,56,35,136,7,3827,339,1160,1710,982,139,3826,128,65,2187,119,79,28,101,49,2633,321,12,1,0,47,55,6,1,0,0,199,66,92,11,27,16,2,0,0,0,0,8.3,8,32,261,43,47,49,4,13
bo San Antonio Bulo Bulo,6,3,4.2,51,9,1,1,98,6,1311,1896,544,651,538,672,184,438,1,2.5,2.0,33,97,24,9,118,54,116,102,54,61,37,4,56,121,65,71,66,223,8,2724,425,1120,1167,469,73,2723,141,60,1223,54,34,11,112,58,1300,116,20,1,0,82,83,8,1,1,0,249,80,88,15,46,31,0,1,1,0,0,14.4,43,135,126,14,79,117,5,5
br Bahia,6,5,6.2,81,29,0,0,144,9,2792,3250,1233,1349,1312,1454,184,301,2,4.8,5.4,57,216,42,12,287,112,286,84,52,41,31,12,28,68,40,45,51,149,3,3959,376,1148,1893,946,129,3959,118,59,2415,112,86,26,118,51,2777,286,5,0,0,44,84,10,0,0,0,234,73,44,7,29,22,2,0,0,0,0,7.1,21,48,178,29,38,78,1,12
br Botafogo (RJ),6,8,7.6,80,33,0,0,137,13,2579,3135,1025,1151,1163,1332,341,523,6,5.8,5.1,61,248,45,22,260,81,257,90,62,51,32,7,42,89,47,52,40,164,5,3815,334,1090,1884,869,113,3815,106,49,2124,81,76,16,109,40,2560,257,11,2,1,56,63,3,0,1,0,244,89,72,5,19,14,2,1,1,0,0,5.3,29,62,148,25,33,92,5,7
br Flamengo,6,6,7.3,81,28,0,0,148,11,3084,3646,1395,1522,1366,1542,266,432,4,6.2,6.1,67,289,59,16,327,107,325,92,59,33,42,17,33,73,40,44,41,100,3,4270,308,1087,2078,1139,147,4270,142,80,2589,107,101,23,111,47,3061,325,11,0,0,64,75,10,0,1,0,265,73,60,3,15,12,4,1,1,0,0,3.7,15,47,152,24,27,61,4,6
br Fortaleza,6,5,6.9,68,24,0,1,113,7,1398,1866,603,707,630,747,135,319,4,5.1,2.0,51,127,23,7,179,57,178,76,66,31,34,11,33,68,35,50,55,144,4,2445,266,682,1239,557,79,2444,68,26,1192,57,53,15,97,39,1387,178,12,0,0,62,74,11,1,1,0,197,75,70,5,30,25,3,1,1,0,0,9.2,25,68,96,21,41,76,7,7
br Internacional,6,12,9.8,60,28,4,4,114,23,2155,2657,902,1002,1013,1174,210,364,6,5.3,3.9,42,210,36,11,243,76,242,111,74,43,52,16,57,119,62,58,29,145,7,3329,319,992,1644,720,108,3325,91,46,1886,76,52,22,105,55,2138,242,18,0,0,85,45,14,4,0,0,226,60,86,8,29,21,2,0,0,0,0,7.8,15,47,87,23,52,76,6,5
br Palmeiras,6,17,15.1,96,46,1,1,168,31,2042,2539,857,964,893,1020,244,427,13,10.6,9.4,72,152,58,24,211,105,210,79,49,31,38,10,29,68,39,70,41,165,1,3246,310,1033,1442,818,155,3245,127,67,1816,105,81,31,90,34,2026,210,9,0,0,53,63,15,1,0,0,226,82,63,4,23,19,4,0,0,0,0,4.0,17,63,122,34,43,83,7,3
br São Paulo,6,10,5.3,73,20,0,0,130,19,2588,3078,1097,1209,1158,1286,271,431,8,4.3,3.3,52,222,46,15,267,105,265,85,59,39,39,7,40,81,41,65,29,153,4,3746,302,1071,1922,788,117,3746,95,40,2133,105,79,25,115,47,2572,265,11,1,0,69,56,12,0,1,0,270,85,86,4,16,12,3,1,0,0,1,4.1,14,47,86,16,43,73,1,4
cl Colo-Colo,6,5,5.5,68,22,1,1,101,7,1845,2301,724,823,942,1071,160,318,1,3.9,3.8,42,127,29,6,169,59,168,57,44,31,22,4,26,61,35,44,52,126,6,2795,271,848,1445,532,67,2794,69,33,1428,59,52,13,55,34,1827,168,20,1,1,63,54,16,1,0,0,187,69,59,15,36,21,1,0,0,0,0,9.5,18,64,93,22,36,65,5,2
cl U de Chile,6,8,8.8,78,22,3,3,133,11,2255,2838,993,1144,920,1070,253,436,3,5.0,4.2,54,213,38,7,285,84,281,110,73,55,47,8,69,124,55,57,57,171,1,3554,279,985,1780,820,96,3551,88,43,1776,84,63,10,99,65,2235,281,17,0,0,79,62,7,1,1,0,277,90,70,6,23,17,2,1,1,0,0,6.1,22,55,106,19,36,83,2,6
co CA Bucaramanga,6,6,5.2,66,21,1,1,125,11,1965,2542,940,1069,730,886,213,412,5,3.7,4.5,47,153,37,13,199,70,196,79,53,45,33,1,40,67,27,74,59,168,6,3218,309,998,1613,632,71,3217,73,35,1714,70,57,7,89,61,1946,196,15,1,1,56,71,16,1,2,0,258,70,84,10,34,23,1,2,1,1,0,10.5,26,64,126,33,43,80,4,6
co Nacional,6,7,5.9,82,25,0,0,137,13,2478,2994,1124,1259,1004,1141,293,451,7,4.7,3.9,60,212,42,10,242,92,240,96,63,52,28,16,48,99,51,47,52,105,0,3615,318,1075,1749,820,104,3615,110,62,2224,92,64,24,88,56,2455,240,13,1,0,74,59,18,0,3,0,227,62,49,6,24,18,2,3,3,0,0,6.8,29,69,211,28,13,71,3,3
ec Barcelona,6,3,5.0,66,15,0,1,110,3,1820,2455,870,1035,750,901,175,395,1,1.6,3.7,43,186,38,14,210,91,208,107,63,52,43,12,49,102,53,74,55,169,0,3214,351,979,1504,759,89,3213,143,68,1629,91,53,11,115,67,1809,208,14,1,0,72,68,16,1,1,0,281,90,104,7,30,22,2,1,0,1,0,8.0,21,77,100,20,64,81,8,3
ec Independiente,6,8,5.8,76,22,0,0,133,12,2340,2852,1046,1161,983,1112,243,409,6,4.2,3.4,56,184,30,8,209,82,207,100,57,54,38,8,46,102,56,61,56,158,4,3562,349,1111,1806,691,79,3562,93,43,1920,82,68,12,117,47,2320,207,9,1,0,49,75,7,0,2,1,274,78,78,11,29,18,1,2,1,1,0,8.8,19,46,110,18,39,85,2,5
ec LDU de Quito,6,8,5.9,67,17,0,0,118,15,1838,2356,752,846,843,976,215,424,7,5.0,2.7,49,145,29,13,169,77,168,89,54,42,35,12,38,112,74,60,53,212,3,3104,495,1272,1224,635,86,3104,96,47,1442,77,56,18,110,64,1829,168,15,1,0,69,51,12,0,0,0,239,83,91,4,28,24,4,0,0,0,0,7.5,31,86,169,23,64,113,5,2
pe Alianza Lima,6,7,5.8,83,25,0,1,136,11,1720,2285,768,877,739,884,174,394,6,2.9,3.3,54,138,27,10,166,72,164,104,68,47,39,18,61,100,39,40,43,147,1,2988,344,930,1482,615,97,2987,85,39,1523,72,61,20,104,60,1707,164,20,4,3,62,58,8,0,2,0,256,90,96,11,29,18,0,2,2,0,0,6.8,36,87,118,33,55,88,5,3
pe Sporting Cristal,6,6,4.6,65,21,0,0,119,11,1659,2237,621,755,738,894,264,480,6,4.0,3.3,52,138,25,6,172,59,172,80,53,43,29,8,44,97,53,62,68,191,6,2952,410,1099,1262,620,81,2952,93,44,1416,59,37,15,90,46,1643,172,20,0,0,80,44,13,0,2,0,224,75,112,16,43,27,0,2,2,0,0,12.9,19,56,131,18,48,85,4,6
pe Universitario,6,4,5.2,63,19,0,0,107,7,1577,2236,679,810,641,821,218,465,3,4.0,3.5,48,162,39,16,189,72,187,119,73,53,54,12,62,120,58,69,68,189,4,2996,320,898,1392,737,96,2996,115,57,1403,72,56,21,97,40,1569,187,18,0,0,70,50,16,0,0,0,304,113,95,4,27,23,2,0,0,0,0,6.6,42,108,93,18,61,105,3,11
py Cerro Porteño,6,7,8.2,96,28,0,0,155,14,1388,1959,573,726,567,710,195,378,7,6.1,4.1,65,140,41,8,170,68,169,108,63,48,50,10,62,130,68,59,52,182,7,2667,338,868,1209,615,121,2667,78,40,1207,68,42,21,97,39,1369,169,13,1,0,60,57,8,0,0,0,228,112,68,11,36,25,1,0,0,0,0,11.0,46,94,105,19,64,97,2,7
py Libertad,6,6,6.6,51,16,1,2,86,10,1891,2479,926,1063,664,807,218,421,4,4.2,3.9,35,147,30,8,142,51,139,113,74,69,34,10,60,116,56,69,58,192,3,3222,355,1246,1395,611,89,3220,90,38,1635,51,34,10,109,38,1872,139,14,1,0,61,56,9,1,0,0,272,116,101,5,22,17,3,0,0,0,0,6.0,44,104,122,12,57,97,1,5
py Olimpia,6,9,8.3,115,42,0,0,188,14,2079,2773,942,1126,870,1053,219,414,6,5.6,5.4,81,200,52,17,255,97,250,111,71,46,50,15,55,95,40,74,54,126,1,3520,270,931,1722,901,137,3520,119,47,1878,97,65,16,91,55,2054,250,14,0,0,89,68,16,0,3,0,300,109,95,11,28,16,2,3,2,1,0,9.1,32,78,127,19,43,65,2,5
uy Nacional,6,7,5.8,71,27,0,0,122,12,1331,1930,548,652,569,743,156,381,6,4.2,3.2,52,126,31,7,171,80,170,111,66,65,40,6,56,120,64,77,52,161,0,2641,301,974,1136,585,91,2641,122,50,1305,80,55,17,89,50,1313,170,9,0,0,61,65,24,0,1,0,275,71,87,10,31,21,1,1,1,0,0,10.7,14,54,85,12,35,85,6,3
uy Peñarol,6,9,9.1,86,32,0,1,157,17,1915,2606,869,1028,707,866,221,471,9,6.4,4.4,62,191,48,15,264,64,263,133,81,54,59,20,70,135,65,71,42,209,3,3437,280,941,1708,816,104,3436,105,53,1721,64,50,13,127,50,1901,263,9,0,0,64,89,12,1,0,0,307,96,90,4,23,19,4,0,0,0,0,3.8,28,90,109,23,43,84,5,0
ve Carabobo,6,2,2.7,44,10,1,1,78,4,1356,1921,593,686,557,704,176,441,0,0.9,1.5,26,122,15,6,157,63,155,77,45,44,30,3,34,71,37,55,75,173,4,2619,380,996,1137,526,60,2618,100,48,1181,63,50,10,118,43,1339,155,8,1,0,56,58,3,1,3,0,266,74,106,13,39,26,0,3,3,0,0,11.2,11,54,67,18,60,95,3,4
ve Dep Táchira,6,4,6.9,81,21,0,0,146,8,2443,3000,1063,1191,1073,1211,256,464,3,5.8,5.8,60,213,34,12,243,109,242,103,58,55,36,12,45,100,55,55,50,134,9,3714,394,1182,1764,807,81,3714,121,54,2107,109,80,10,114,67,2428,242,13,3,0,43,41,13,0,0,0,283,74,81,11,37,26,0,0,0,0,0,11.1,22,65,136,30,55,108,4,15
