Team,Matches Played,Goals,xG,Shots,Shots on Target,Penalties Scored,Penalties Attempted,Shot Creating Actions,Goal Creating Actions,Passes Completed (Total),Passes Attempted (Total),Passes Completed (Short),Passes Attempted (Short),Passes Completed (Medium),Passes Attempted (Medium),Passes Completed (Long),Passes Attempted (Long),Assists,Expected Assists (xAG),Expected Assists (xA),Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Progressive Passes,Progressive Carries,Progressive Runs,Tackles,Tackles Won,Tackles Defensive Third,Tackles Middle Third,Tackles Attacking Third,Challenges Tackled,Challenges Attempted,Challenges Lost,Blocks,Interceptions,Clearances,Errors,Touches,Touches Defensive Penalty Area,Touches Defensive Third,Touches Middle Third,Touches Attacking Third,Touches Attacking Penalty Area,Live-Ball Touches,Take-Ons Attempted,Successful Take-Ons,Carries,Progressive Carries.1,Carries into Final Third,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,Yellow Cards,Red Cards,Second Yellow Cards,Fouls Committed,Fouls Drawn,Offsides,Penalties Won,Penalties Conceded,Own Goals,Ball Recoveries,Aerial Duels Won,Aerial Duels Lost,Goals Against,Shots on Target Against,Saves,Clean Sheets,Penalty Kicks Attempted,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Post-Shot Expected Goals,Launched Passes Completed,Launched Passes Attempted,Passes Attempted (GK),Through Balls,Goal Kicks Attempted,Crosses Opposed,Crosses Stopped,Sweeper Actions
Cruzeiro,14,22,18.7,193,65,0,2,339,36,4155,5386,1969,2242,1628,1950,435,866,20,14.5,11.4,148,368,91,32,432,178,427,265,171,127,114,24,153,269,116,161,114,447,1,7171,786,2299,3250,1697,249,7169,265,106,3680,178,120,47,207,104,4114,427,36,2,0,206,182,24,2,1,0,585,160,176,9,57,47,7,1,0,1,0,13.3,42,113,182,35,106,233,5,9
D.C. United,23,19,25.2,253,84,1,2,441,32,8269,10661,3698,4245,3531,4139,875,1764,14,18.4,21.2,198,579,174,50,758,265,745,394,249,181,159,54,218,384,166,258,232,603,15,13181,1393,4617,5688,2995,436,13179,295,141,6882,265,218,72,309,203,8207,745,61,0,0,330,230,31,1,3,1,949,367,333,43,119,77,4,3,3,0,0,40.6,126,391,598,102,167,270,19,31
Defensa y Just,17,18,14.3,200,68,0,1,358,33,5767,7521,2235,2640,2608,3102,819,1408,15,10.2,10.4,148,586,131,36,727,268,720,279,175,140,118,21,140,262,122,182,156,597,8,9654,1055,3247,4341,2157,267,9653,244,130,4744,268,167,30,303,159,5711,720,37,2,1,195,167,35,1,1,0,803,296,314,22,78,56,6,1,1,0,0,23.2,127,259,408,60,125,283,12,10
Dender,30,31,32.3,311,93,2,2,548,50,9429,12885,3696,4551,4242,5256,1144,2356,22,24.4,29.4,226,832,215,64,1081,343,1076,542,327,263,203,76,268,547,279,400,326,1009,10,16802,2063,5657,7520,3828,601,16800,450,207,10136,343,347,93,525,288,9345,1076,62,5,2,318,287,39,0,8,2,1364,578,565,51,157,108,7,8,8,0,0,53.0,160,455,628,89,191,486,21,11
Deportivo Riestra,17,14,15.3,137,39,0,2,215,22,2149,4120,836,1245,766,1308,484,1277,10,8.8,12.1,89,313,101,19,351,114,346,306,199,168,115,23,173,326,153,188,159,673,2,6375,1038,2441,2396,1618,302,6373,242,101,2149,114,71,32,302,167,2124,346,54,2,2,264,152,26,1,2,2,596,329,391,7,58,53,13,2,2,0,0,14.5,187,475,420,13,154,382,36,26
Derby County,46,43,48.0,461,140,2,2,768,73,11757,17017,4576,5573,5283,6732,1632,3657,29,29.7,31.2,311,931,247,110,1225,557,1212,845,532,386,356,103,366,667,301,555,440,1313,15,22549,2653,8115,9414,5243,866,22547,626,278,9977,557,321,111,717,384,11647,1212,90,0,0,555,418,81,2,3,1,1876,962,945,56,167,110,12,3,1,2,0,56.8,258,901,1109,188,308,642,53,33
Estoril,34,47,42.0,328,112,6,8,578,76,11841,15103,5338,6092,5060,5885,1146,2343,28,27.6,25.8,244,852,198,47,1053,403,1039,530,327,224,228,78,279,511,232,331,324,901,18,19080,1865,6705,8674,3878,523,19072,664,257,9857,403,314,85,570,306,11746,1039,83,2,0,540,459,41,5,8,0,1495,482,534,53,151,97,7,8,7,1,0,56.1,173,576,759,128,249,467,22,56
Estrela,34,23,29.7,327,89,2,4,539,41,9212,12566,3506,4205,4248,5117,1255,2591,16,18.9,20.8,227,771,176,61,875,354,863,613,373,306,251,56,312,575,263,388,306,969,28,16764,2030,6194,7434,3326,462,16760,633,285,7546,354,240,64,650,284,9128,863,102,3,2,521,534,69,3,7,2,1354,514,555,50,149,99,7,7,5,2,0,49.0,179,544,805,138,278,481,15,30
Estudiantes–LP,17,18,19.0,213,66,1,1,373,28,6310,8146,2621,3084,2795,3327,752,1334,10,14.0,14.8,158,640,128,49,771,276,766,329,208,159,135,35,164,319,155,184,185,477,8,10171,897,2982,4963,2318,297,10170,265,128,5130,276,193,43,289,150,6264,766,59,3,1,245,201,22,0,2,0,760,308,291,20,60,39,5,2,1,1,0,18.4,71,193,288,74,143,249,10,20
FC Cincinnati,23,38,29.2,316,124,3,3,565,64,9535,11631,3842,4357,4600,5171,898,1580,25,19.7,22.6,236,656,169,25,844,391,836,371,231,165,163,43,188,322,134,266,180,653,14,14426,1489,4817,6590,3163,485,14423,419,190,7811,391,293,116,389,220,9474,836,46,1,1,239,247,48,1,5,2,1030,303,262,31,92,62,7,5,3,1,1,30.8,76,229,536,113,159,344,20,8
