Player,Nation,Position,Age,Born,Matches Played,Starts,Minutes Played,Goals,xG,Shots,Shots on Target,Penalties Scored,Penalties Attempted,Shot Creating Actions,Goal Creating Actions,Passes Completed (Total),Passes Attempted (Total),Passes Completed (Short),Passes Attempted (Short),Passes Completed (Medium),Passes Attempted (Medium),Passes Completed (Long),Passes Attempted (Long),Assists,Expected Assists (xAG),Expected Assists (xA),Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Progressive Passes,Progressive Carries,Progressive Passes,Progressive Runs,Tackles,Tackles Won,Tackles Defensive Third,Tackles Middle Third,Tackles Attacking Third,Challenges Tackled,Challenges Attempted,Challenges Lost,Blocks,Interceptions,Clearances,Errors,Touches,Touches Defensive Penalty Area,Touches Defensive Third,Touches Middle Third,Touches Attacking Third,Touches Attacking Penalty Area,Live-Ball Touches,Take-Ons Attempted,Successful Take-Ons,Carries,Progressive Carries,Carries into Final Third,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,Yellow Cards,Red Cards,Second Yellow Cards,Fouls Committed,Fouls Drawn,Offsides,Penalties Won,Penalties Conceded,Own Goals,Ball Recoveries,Aerial Duels Won,Aerial Duels Lost
Erik Ahlstrand,se SWE,MO,22,2001,5,0,43,0,0.0,0,0,0,0,0,0,10,13,7,7,2,4,0,0,0,0.0,0.0,0,1,0,0,1,1,1,3,0,0,0,0,0,0,0,0,1,1,1,0,22,0,2,10,10,2,22,0,0,12,1,2,0,3,0,14,3,0,0,0,0,0,1,0,0,0,0,0,3
Tosin Adarabioyo,eng ENG,DF,26,1997,10,10,855,1,0.5,6,2,0,0,12,3,1025,1069,394,400,578,595,48,62,0,0.4,0.5,2,42,4,0,39,2,39,0,7,6,1,4,2,4,5,1,6,7,29,1,1133,117,468,639,27,11,1133,3,2,814,2,5,1,4,0,970,0,3,0,0,2,0,0,0,0,0,38,16,6
Abner,br BRA,MF,24,2000,6,4,355,1,0.1,2,1,0,0,4,0,210,253,139,151,60,81,9,16,0,0.2,0.2,4,14,2,1,19,4,19,14,14,8,9,3,2,10,15,5,4,4,10,0,296,11,94,140,67,5,296,4,2,163,4,4,1,4,2,183,14,1,0,0,8,0,0,0,0,0,23,3,8
Federico Accornero,it ITA,MF,20,2004,1,0,5,0,0.0,0,0,0,0,0,0,4,6,2,3,2,2,0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,2,3,3,0,8,0,0,5,0,1,0,2,0,5,0,0,0,0,0,0,0,0,0,0,1,0,1
Adrián,es ESP,GK,37,1987,19,19,1710,0,0.0,0,0,0,0,0,0,474,619,74,76,265,268,134,269,0,0.0,0.0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,14,3,658,568,657,1,0,0,658,0,0,390,0,0,0,1,0,299,0,3,0,0,0,4,0,0,0,0,20,2,1
Asher Agbinone,eng ENG,MF,18,2005,2,0,6,0,0.0,1,0,0,0,1,0,2,3,1,1,1,2,0,0,0,0.0,0.0,1,0,0,0,0,2,0,1,2,1,0,2,0,0,0,0,0,0,0,0,8,0,0,2,6,0,8,2,0,5,2,0,0,0,1,5,1,0,0,0,0,0,0,0,0,0,0,0,1
Mohammad Abu Fani,il ISR,MF,26,1998,10,10,823,1,0.5,11,4,0,0,30,3,379,500,163,181,147,184,61,99,2,1.8,1.7,15,41,13,2,60,18,60,20,17,12,8,8,1,10,28,18,15,5,11,0,608,12,144,305,169,11,608,22,11,398,18,13,4,18,17,405,20,2,0,0,14,23,0,0,0,0,70,2,7
Kevin Akpoguma,ng NGA,DF,29,1995,32,23,2220,0,0.1,5,1,0,0,27,1,1193,1369,477,507,598,654,88,159,0,0.3,0.6,7,101,10,0,98,14,98,16,54,27,36,12,6,30,46,16,65,29,115,1,1692,227,759,830,115,5,1692,15,8,892,14,15,0,11,9,1025,16,3,0,0,25,23,1,0,4,0,107,48,47
Francesco Acerbi,it ITA,DF,36,1988,23,20,1710,0,0.4,5,1,0,0,20,1,1200,1297,406,434,697,727,83,106,1,0.6,1.4,9,59,8,5,62,19,62,22,23,19,16,7,0,11,17,6,22,26,81,0,1484,139,648,733,108,20,1484,4,3,915,19,20,1,7,2,1101,22,0,0,0,11,18,2,0,0,0,62,61,30
Michel Aebischer,ch SUI,MF,27,1997,1,0,29,0,0.0,0,0,0,0,1,0,10,12,6,8,3,3,1,1,0,0.0,0.0,0,2,0,0,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,14,0,1,10,3,1,14,0,0,10,0,0,0,2,0,11,1,1,0,0,4,0,0,0,0,0,3,0,0
Abner,br BRA,DF,24,2000,19,12,1090,1,0.6,7,3,0,0,25,1,568,675,335,366,181,210,33,55,1,1.1,2.3,11,45,11,2,66,31,66,55,29,20,12,10,7,21,32,11,15,5,41,0,791,40,207,361,225,22,791,12,6,426,31,16,5,14,8,513,55,1,0,0,16,4,0,0,0,0,45,7,9
Raymond Adeola,ng NGA,MO,23,2001,4,2,177,1,0.8,3,1,0,0,1,0,12,29,9,15,3,6,0,5,0,0.0,0.0,0,1,0,0,3,1,3,9,6,2,2,2,2,1,1,0,0,1,1,0,48,2,7,19,22,5,48,4,1,26,1,2,1,4,2,31,9,0,0,0,0,4,0,0,0,0,3,1,7
Emmanuel Addai,gh GHA,MO,22,2001,8,1,162,0,0.3,4,1,0,0,3,0,55,70,29,33,18,23,6,10,0,0.2,0.2,3,4,3,1,9,5,9,18,7,3,1,3,3,3,5,2,2,0,0,0,109,2,5,32,74,8,109,16,5,82,5,9,1,10,6,88,18,1,0,0,1,3,0,0,0,0,3,0,2
Andreas Albers,dk DEN,FW,34,1990,14,0,62,1,0.6,3,1,0,0,2,0,15,29,10,18,4,6,1,2,0,0.1,0.1,2,1,0,0,3,1,3,6,1,1,0,0,1,0,1,1,0,0,1,0,44,0,2,17,26,8,44,3,2,24,1,0,0,4,6,40,6,0,0,0,3,2,0,0,0,0,3,10,12
Julen Agirrezabala,es ESP,GK,23,2000,14,14,1206,0,0.0,0,0,0,0,3,0,281,411,46,46,165,165,70,196,0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,4,0,437,357,436,1,0,0,437,0,0,237,0,0,0,1,0,211,0,1,1,0,3,1,0,0,2,0,21,5,0
