Player,Nation,Position,Team,Age,Born,Matches Played,Starts,Minutes Played,Goals Against,Shots on Target Against,Saves,Clean Sheets,Penalty Kicks Attempted,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Post-Shot Expected Goals,Launched Passes Completed,Launched Passes Attempted,Passes Attempted (GK),Through Balls,Goal Kicks Attempted,Crosses Opposed,Crosses Stopped,Sweeper Actions,Penalties Winner,Efficiency,% Saves,% Long Passes,% Crosses Stopped
Marco Sportiello,it ITA,GK,Milan,32,1992,2,1,126,1.43,4.29,2.86,0.71,0.0,0.0,0.0,0.0,1.57,3.57,9.29,32.86,5.71,10.0,10.71,0.71,2.14,0.0,0.14,66.67,38.43,6.63
Marius Müller,de GER,GK,Wolfsburg,31,1993,6,5,475,0.95,4.36,3.41,0.19,0.0,0.0,0.0,0.0,1.44,7.01,18.38,34.86,5.49,6.44,18.76,1.71,0.57,0.0,0.49,78.21,38.14,9.12
Mark Flekken,nl NED,GK,Brentford,31,1993,37,37,3275,1.51,5.58,4.12,0.19,0.03,0.03,0.0,0.0,1.45,6.84,18.11,41.17,3.35,5.83,15.97,1.26,0.93,0.0,-0.06,73.84,37.77,7.89
Mark Travers,ie IRL,GK,Bournemouth,25,1999,5,5,450,1.0,5.0,4.0,0.2,0.0,0.0,0.0,0.0,1.9,6.6,14.6,20.6,5.8,7.8,12.6,0.2,1.0,0.0,0.9,80.0,45.21,1.59
Marko Dmitrović,rs SRB,GK,Leganés,32,1992,32,32,2880,1.53,4.69,3.22,0.31,0.25,0.22,0.0,0.03,1.57,6.28,23.91,23.22,3.5,9.47,18.09,1.53,1.66,0.03,0.04,68.66,26.27,8.46
Marko Ilić,rs SRB,GK,rs Red Star,26,1998,2,2,180,5.0,8.5,3.5,0.0,0.0,0.0,0.0,0.0,4.35,6.0,22.5,18.5,3.0,12.5,14.5,1.0,0.0,0.0,-0.65,41.18,26.67,6.9
Martin Dúbravka,sk SVK,GK,Newcastle Utd,35,1989,10,10,900,1.2,4.1,2.9,0.5,0.0,0.0,0.0,0.0,1.29,1.8,8.0,27.3,5.4,5.9,12.7,1.0,1.1,0.0,0.09,70.73,22.5,7.87
Martin Jedlička,cz CZE,GK,cz Viktoria Plzeň,26,1998,12,12,1080,1.33,4.92,3.5,0.25,0.08,0.0,0.08,0.0,1.7,5.92,16.92,24.33,2.67,5.67,14.67,0.83,1.08,0.08,0.37,71.14,34.99,5.66
Marvin Keller,ch SUI,GK,ch Young Boys,22,2002,4,4,360,2.25,6.0,4.0,0.0,0.25,0.0,0.25,0.0,1.92,3.0,13.25,41.25,4.75,2.75,19.0,0.0,0.5,0.25,-0.32,66.67,22.64,0.0
Matej Kovar,cz CZE,GK,Leverkusen,24,2000,11,11,990,1.0,2.64,1.73,0.55,0.09,0.09,0.0,0.0,0.81,3.82,8.36,26.73,3.36,4.0,9.91,0.64,0.82,0.0,-0.19,65.53,45.69,6.46
Mateusz Kochalski,pl POL,GK,az Qarabağ,24,2000,6,6,540,2.5,7.17,4.67,0.0,0.17,0.17,0.0,0.0,2.82,3.67,13.83,31.83,3.5,5.0,11.17,0.5,1.0,0.0,0.32,65.13,26.54,4.48
Matevž Vidovšek,si SVN,GK,si Olimpija,24,1999,8,8,720,0.88,4.25,3.12,0.62,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,-0.88,73.41,,
