Player,Nationality,Minutes,Goals Against,Saves,Save Efficiency,Clean Sheets,Completed Long Passes,Attempted Long Passes,Attempted Passes (excluding GK),Attempted Throws,Attempted Goal Kicks,Crosses Faced,Crosses Stopped,Defensive Actions Outside Penalty Area,Pass Length,Goal Kick Length,Distance of Defensive Actions
Nikola Vasilj,ba BIH,2969,82.2,29.23,74.04,54.15,49.85,49.85,69.73,18.99,14.24,24.04,38.13,37.39,8.01,24.33,37.69
Noah Atubolu,de GER,2307,67.06,44.51,52.67,69.88,72.11,57.86,70.92,46.14,23.15,44.21,74.18,55.49,20.18,61.72,32.94
Ognjen Čančarević,am ARM,270,12.02,97.03,36.65,63.65,27.0,20.62,46.14,65.28,66.91,20.47,5.79,47.63,56.97,8.9,58.75
Oliver Baumann,de GER,3150,6.53,87.09,35.76,72.85,91.69,96.14,90.5,82.2,75.82,90.8,71.22,77.15,83.38,94.96,92.58
Omri Glazer,il ISR,270,12.02,9.94,3.86,13.2,27.0,9.94,17.06,13.95,52.82,18.99,17.36,5.93,27.0,6.53,5.93
Oscar Jansson,se SWE,180,63.35,3.56,7.42,13.2,11.28,6.53,4.6,5.19,25.52,29.67,5.79,90.36,12.46,41.39,72.4
Panagiotis Retsos,gr GRE,1,98.07,1.78,52.67,99.55,100.0,100.0,99.85,1.04,0.74,0.74,5.79,5.93,1.04,0.74,5.93
Patrick Drewes,de GER,1889,31.31,16.47,32.34,30.12,95.85,87.83,55.19,16.62,73.89,34.12,28.19,72.11,19.88,65.28,57.86
Patrik Carlgren,se SWE,417,60.09,75.67,77.89,45.85,46.29,40.36,10.68,71.51,69.44,67.06,13.95,14.24,89.61,54.01,27.3
Pau López,es ESP,135,0.89,80.71,2.97,13.2,94.66,92.28,96.14,91.69,96.14,99.41,100.0,80.56,83.09,74.78,12.46
Paulo Gazzaniga,ar ARG,3825,9.79,96.44,43.92,68.4,60.24,70.03,84.87,81.16,89.91,83.98,77.89,60.24,74.18,93.77,96.74
Pepe Reina,es ESP,1034,79.97,14.84,33.38,37.39,29.97,21.22,41.25,26.41,5.64,28.78,11.87,24.63,27.89,9.79,32.34
Peter Vindahl Jensen,dk DEN,720,19.88,82.79,13.8,31.45,57.72,74.04,46.88,54.45,49.41,47.48,50.0,39.76,61.72,70.92,25.82
Philipp Hofmann,de GER,1,98.07,1.78,52.67,99.55,1.19,0.74,99.85,1.04,100.0,0.74,5.79,5.93,1.04,1.78,5.93
Philipp Köhn,ch SUI,1890,21.51,29.23,5.93,71.51,36.94,34.12,70.03,84.27,79.23,78.34,75.07,81.9,97.63,83.38,96.14
Pierluigi Gollini,it ITA,630,33.83,13.06,16.91,33.53,45.99,24.63,40.06,13.95,64.24,30.56,15.73,15.43,13.35,43.03,71.81
Pietro Terracciano,it ITA,810,19.29,83.09,28.34,78.78,71.51,50.89,79.53,77.74,75.07,53.26,24.18,64.99,73.59,62.31,87.83
Przemysław Tytoń,pl POL,167,33.38,26.26,75.82,13.2,97.33,91.69,66.77,31.16,48.22,63.5,26.71,54.75,26.26,50.15,74.78
Péter Gulácsi,hu HUN,3171,5.64,94.66,20.18,76.41,42.14,39.47,83.38,95.1,96.74,95.55,83.68,57.86,91.99,75.37,60.53
Radosław Majecki,pl POL,2070,8.61,95.7,81.01,74.78,27.89,65.58,76.56,98.52,94.66,82.05,85.76,63.8,99.7,91.69,82.2
Razvan Sava,ro ROU,1080,73.59,41.69,36.65,63.65,27.0,34.42,38.72,6.53,19.29,64.09,17.36,54.75,5.34,51.34,62.02
Remko Pasveer,nl NED,923,91.69,59.35,82.79,69.88,66.47,67.36,68.25,28.19,12.02,62.91,78.93,31.6,12.02,41.84,59.64
Ricardo,br BRA,405,22.7,11.87,8.46,45.85,4.75,29.08,12.46,16.91,37.09,59.94,50.89,18.84,42.43,59.05,41.84
Ricardo Manuel Silva,pt POR,540,47.63,24.48,17.21,63.65,45.4,31.16,36.65,59.79,37.83,40.21,59.64,70.03,58.16,35.61,52.52
Robert Sánchez,es ESP,2970,36.94,63.8,9.2,59.94,36.2,72.4,93.77,91.1,18.99,79.23,95.99,76.56,77.45,74.18,47.92
Robin Olsen,se SWE,226,23.89,45.4,66.17,70.47,84.12,83.68,44.81,2.08,87.24,56.38,70.77,5.93,2.08,77.15,5.93
Robin Zentner,de GER,2880,76.26,42.73,66.17,55.34,59.94,67.95,47.48,41.69,33.98,61.13,76.85,76.85,49.41,64.39,48.52
Roei Mashpati,il ISR,630,27.6,53.41,83.09,13.2,40.65,36.94,58.16,66.77,17.8,33.83,20.47,26.56,45.4,24.04,40.65
Rohan Ferguson,sct SCO,540,40.95,62.61,34.42,37.39,90.21,89.32,43.03,27.6,78.93,86.65,59.64,47.63,41.69,51.93,24.33
Rome-Jayden Owusu-Oduro,nl NED,990,52.82,17.21,18.99,39.91,34.72,46.88,21.36,23.15,33.38,29.08,75.82,28.78,51.34,69.44,44.81
Rui Patrício,pt POR,360,12.02,88.43,9.94,63.65,89.61,58.61,88.43,96.14,96.14,68.99,5.79,92.43,90.8,78.04,75.07
Rui Silva,pt POR,1530,17.8,91.69,97.03,90.5,43.77,60.24,89.32,97.03,86.05,97.33,97.63,94.07,88.43,92.28,89.17
Ruslan Neshcheret,ua UKR,270,73.59,50.89,75.82,63.65,9.5,28.19,54.6,59.79,52.82,77.89,5.79,47.63,47.77,24.63,64.69
Rémy Descamps,fr FRA,180,3.12,100.0,13.8,13.2,51.78,71.36,91.99,79.97,40.36,93.77,5.79,80.56,67.66,73.89,78.49
Sam Johnstone,eng ENG,630,23.15,49.55,10.53,13.2,83.09,73.59,64.99,36.94,9.79,46.44,68.99,72.11,24.78,38.28,20.62
Semuel Pizzignacco,it ITA,736,36.5,26.26,11.28,48.81,46.59,40.95,57.57,27.6,38.87,42.73,21.81,38.58,18.69,25.22,61.57
Sergio Herrera,es ESP,3330,69.29,57.57,65.13,45.85,83.38,59.94,27.3,30.71,64.69,39.02,48.37,84.57,52.37,59.35,73.29
Sergio Padt,nl NED,360,48.96,80.71,91.99,13.2,57.72,68.25,48.37,13.95,75.07,70.33,24.18,47.63,17.51,41.39,26.71
Silviu Șmalenea,md MDA,540,32.49,56.08,28.34,13.2,22.11,41.69,30.42,68.25,57.72,67.51,84.87,22.26,78.04,27.6,52.52
Simon Mignolet,be BEL,1080,56.97,33.23,41.1,51.48,47.92,25.37,59.35,19.58,15.58,22.85,59.64,30.42,9.35,16.91,31.45
Simon Sluga,hr CRO,90,89.02,9.94,52.67,13.2,34.72,8.75,74.63,13.95,25.52,15.43,5.79,5.93,2.97,4.15,5.93
Simone Perilli,it ITA,180,89.02,74.48,90.65,13.2,24.04,79.97,2.37,2.52,57.72,85.91,59.64,70.03,9.35,80.12,72.7
Simone Scuffet,it ITA,1260,16.32,86.35,86.94,28.19,88.43,93.77,86.05,90.8,97.63,98.81,78.93,25.07,91.69,87.54,27.89
Stefan Ortega,de GER,1280,66.47,45.99,42.43,96.14,21.07,21.22,81.31,73.74,50.45,50.45,54.3,79.23,52.82,71.81,98.22
Stefan Târnovanu,ro ROU,990,82.2,32.49,47.48,74.78,59.05,48.22,14.84,11.87,77.15,54.9,59.64,25.82,37.83,37.69,23.0
Stefano Turati,it ITA,2676,48.96,43.62,34.42,27.6,67.36,49.26,51.93,44.36,17.06,36.5,38.72,39.32,31.9,49.26,66.47
Steve Mandanda,fr FRA,1486,70.33,7.42,18.1,71.51,28.49,26.71,25.82,36.94,17.51,13.5,20.18,62.31,40.65,33.53,52.52
Stole Dimitrievski,mk MKD,360,63.35,5.93,16.32,13.2,30.56,71.36,39.76,75.37,25.52,27.6,40.06,95.99,88.72,66.47,77.15
Sven Ulreich,de GER,135,3.12,9.94,1.19,94.36,16.77,13.06,84.27,73.74,1.63,7.57,59.64,98.37,49.85,1.48,90.21
Sławomir Abramowicz,pl POL,1080,89.02,33.23,72.55,63.65,5.34,9.5,18.25,24.78,28.64,50.0,59.64,37.69,28.78,12.17,53.86
Theo Sander,dk DEN,90,89.02,37.39,77.89,13.2,16.77,16.32,62.61,36.94,13.35,20.47,59.64,47.63,18.99,3.26,31.9
Thibaut Courtois,be BEL,3780,22.26,96.14,71.51,74.78,29.67,60.83,88.72,97.92,78.64,85.16,89.47,25.52,94.96,84.57,78.93
Thijmen Nijhuis,nl NED,540,63.35,70.33,77.89,37.39,8.61,12.02,42.28,52.37,40.36,53.26,24.18,12.76,39.76,16.02,80.12
Thomas Dähne,de GER,810,35.61,67.36,43.92,13.2,56.97,48.66,59.05,75.07,86.65,76.26,84.87,26.11,57.27,46.88,14.24
Théo De Percin,mq MTQ,180,63.35,19.73,74.04,78.78,34.72,54.15,15.58,9.35,40.36,73.89,80.71,70.03,24.78,71.51,25.37
Tiago Cardoso,lu LUX,379,93.47,76.85,85.91,87.54,59.5,47.77,62.91,64.24,62.91,84.87,98.52,14.54,33.83,54.9,13.95
Timo Horn,de GER,1170,50.45,17.95,27.6,47.03,94.07,93.47,48.66,7.42,65.88,37.54,20.77,66.77,10.09,78.78,43.47
Timon Weiner,de GER,2250,22.7,47.48,12.02,28.19,77.74,68.69,51.63,51.63,68.84,75.67,65.58,32.49,43.77,53.12,33.23
Timon Wellenreuther,de GER,955,25.22,61.42,35.76,29.23,28.19,31.75,67.95,40.06,6.53,26.11,40.06,33.83,20.47,27.89,53.41
Tobias Sippel,de GER,59,2.08,6.53,0.59,13.2,98.52,97.63,58.75,15.73,98.52,76.56,5.79,5.93,20.77,84.87,5.93
Tom King,wls WAL,1,98.07,1.78,52.67,99.55,1.19,0.74,98.81,100.0,0.74,100.0,5.79,5.93,98.81,0.74,5.93
Tommaso Martinelli,it ITA,90,98.07,37.39,99.26,94.36,16.77,6.53,2.37,13.95,25.52,3.71,5.79,47.63,51.34,8.31,21.66
Unai Marrero,es ESP,450,32.49,94.96,92.88,63.65,47.92,43.32,73.15,88.58,90.5,79.82,46.88,86.8,97.92,82.79,87.24
Unai Simón,es ESP,1980,94.36,12.17,65.13,96.44,70.33,54.9,75.37,81.9,75.82,46.44,88.87,92.43,93.92,97.03,88.72
Vanja Milinković-Savić,rs SRB,3330,83.68,54.6,74.04,54.15,70.03,75.07,66.17,63.2,61.72,54.45,59.64,61.28,50.74,60.83,43.92
Veljko Ilic,rs SRB,720,24.48,48.07,39.91,13.2,60.83,61.87,72.4,45.1,10.39,8.9,19.14,73.15,18.4,31.75,67.06
Vicente Guaita,es ESP,3060,69.29,13.65,29.67,48.81,5.64,8.01,11.28,70.62,55.19,28.19,41.39,62.91,72.7,19.58,46.74
Vid Belec,si SVN,720,83.98,56.08,70.62,31.45,18.99,27.89,6.23,41.69,30.71,18.4,40.06,5.93,80.12,40.95,5.93
