Player,Team,League,Nationality,Matches,Minutes,Shots on Target Against,Goals Against,Saves,Post-Shot Expected Goals (PSxG),Save Efficiency,Clean Sheets,Completed Long Passes,Attempted Long Passes,Attempted Passes (excluding GK),Attempted Throws,Attempted Goal Kicks,Crosses Faced,Crosses Stopped,Defensive Actions Outside Penalty Area,Pass Length,Goal Kick Length,Distance of Defensive Actions
Jasper Cillessen,Las Palmas,La Liga,nl NED,27,2335,128.0,42.0,85.0,43.9,1.8,3,124.0,409.0,806.0,142.0,179.0,413.0,13.0,20.0,5.88,43.14,19.46
Jay Gorter,Ajax,Europa League,nl NED,1,67,3.0,2.0,1.0,1.0,-1.0,0,3.0,6.0,27.0,3.0,2.0,6.0,0.0,0.0,2.99,44.5,
Jean Butez,Como,Serie A,fr FRA,19,1666,68.0,20.0,48.0,19.8,-0.2,5,90.0,235.0,709.0,92.0,43.0,190.0,22.0,51.0,4.04,42.71,21.03
Jeroen Zoet,AZ Alkmaar,Europa League,nl NED,1,90,5.0,1.0,4.0,2.6,1.6,0,5.0,22.0,25.0,5.0,10.0,25.0,2.0,0.0,7.76,49.8,
Jesse Joronen,Venezia,Serie A,fi FIN,8,703,40.0,15.0,27.0,12.6,-2.4,2,20.0,84.0,260.0,46.0,41.0,125.0,6.0,5.0,5.35,34.88,11.36
Jesús Owono,Alavés,La Liga,gq EQG,6,487,14.0,7.0,7.0,5.4,-1.6,0,46.0,105.0,126.0,12.0,36.0,66.0,6.0,2.0,4.34,67.55,12.0
Joakim Persson,Malmö,Europa League,se SWE,1,90,5.0,2.0,3.0,1.2,-0.8,0,4.0,14.0,24.0,6.0,5.0,14.0,1.0,0.0,8.35,53.8,
Joan García,Espanyol,La Liga,es ESP,38,3420,192.0,51.0,140.0,57.8,6.8,8,194.0,526.0,1040.0,197.0,216.0,670.0,64.0,35.0,6.31,48.48,15.77
Joe Lumley,Southampton,Premier League,eng ENG,3,270,20.0,7.0,13.0,7.7,0.7,0,15.0,50.0,135.0,14.0,15.0,56.0,2.0,7.0,2.98,24.02,26.83
Joel Drommel,PSV Eindhoven,Champions League,nl NED,1,90,6.0,3.0,3.0,3.3,0.3,0,7.0,14.0,40.0,4.0,5.0,11.0,0.0,0.0,3.25,32.8,
Johan Dahlin,Malmö,Europa League,se SWE,3,225,11.0,4.0,7.0,3.3,-0.7,0,1.0,13.0,37.0,10.0,25.0,25.0,1.0,2.0,7.03,27.44,30.0
Jonas Lössl,Midtjylland,Europa League,dk DEN,5,380,24.0,9.0,15.0,8.3,-0.7,2,37.0,80.0,143.0,13.0,30.0,56.0,3.0,5.0,3.36,43.55,15.68
Jonas Omlin,Gladbach,Bundesliga,ch SUI,12,979,72.0,26.0,45.0,23.9,-2.1,1,68.0,190.0,453.0,46.0,57.0,166.0,3.0,13.0,3.29,44.21,20.92
Jonas Urbig,Bayern Munich,Bundesliga,de GER,8,720,28.0,12.0,16.0,10.2,-1.8,2,30.0,79.0,263.0,33.0,23.0,81.0,5.0,21.0,3.83,43.1,20.2
Jonas Urbig,Bayern Munich,Champions League,de GER,4,303,12.0,4.0,8.0,3.1,-0.9,2,10.0,47.0,113.0,8.0,4.0,42.0,0.0,6.0,2.6,60.78,23.92
Jordan Pickford,Everton,Premier League,eng ENG,38,3420,163.0,44.0,117.0,49.2,5.2,12,304.0,806.0,1355.0,161.0,231.0,558.0,31.0,57.0,4.6,48.68,19.15
Josep Martinez,Inter,Champions League,es ESP,1,90,5.0,0.0,5.0,0.2,0.2,1,3.0,6.0,45.0,7.0,3.0,15.0,1.0,0.0,4.0,37.3,
Josep Martinez,Inter,Serie A,es ESP,5,450,14.0,3.0,11.0,4.1,1.1,3,23.0,51.0,216.0,15.0,25.0,81.0,3.0,3.0,2.07,32.13,22.33
Josip Condric,Astana FK,Europa Conference League,hr CRO,3,270,16.0,2.0,14.0,4.2,2.2,1,17.0,67.0,91.0,18.0,43.0,53.0,0.0,3.0,7.04,51.04,21.57
José Sá,Wolves,Premier League,pt POR,29,2609,117.0,48.0,69.0,42.7,-5.3,7,94.0,382.0,771.0,121.0,150.0,432.0,32.0,43.0,5.38,41.49,18.37
Juan Musso,Atalanta,Serie A,ar ARG,1,90,4.0,0.0,4.0,0.7,0.7,1,4.0,20.0,19.0,4.0,14.0,15.0,0.0,1.0,6.97,56.9,17.5
Juan Musso,Atlético Madrid,La Liga,ar ARG,2,180,2.0,0.0,2.0,0.1,0.1,2,1.0,9.0,46.0,11.0,13.0,23.0,2.0,0.0,5.83,25.12,
Juan Soriano,Leganés,La Liga,es ESP,6,540,25.0,7.0,19.0,8.8,1.8,1,36.0,120.0,131.0,20.0,54.0,130.0,7.0,0.0,6.29,62.78,
Julen Agirrezabala,Athletic Club,Europa League,es ESP,13,1170,45.0,17.0,28.0,17.4,0.4,5,54.0,145.0,257.0,37.0,53.0,113.0,6.0,14.0,4.9,52.5,20.22
Julen Agirrezabala,Athletic Club,La Liga,es ESP,14,1206,34.0,9.0,24.0,10.6,1.5,5,57.0,178.0,341.0,51.0,66.0,143.0,20.0,17.0,4.67,54.92,17.23
Justin Bijlow,Feyenoord,Champions League,nl NED,2,125,8.0,1.0,7.0,2.8,1.8,1,9.0,29.0,39.0,2.0,18.0,40.0,3.0,0.0,1.58,54.38,
Jörg Siebenhandl,LASK,Europa Conference League,at AUT,4,276,11.0,4.0,7.0,4.2,0.2,1,3.0,9.0,61.0,12.0,11.0,33.0,1.0,6.0,4.36,19.45,19.77
Kacper Tobiasz,Legia Warsaw,Europa Conference League,pl POL,4,360,18.0,3.0,14.0,5.7,2.7,3,17.0,49.0,95.0,15.0,26.0,69.0,4.0,4.0,5.8,37.92,13.6
Kamil Grabara,Wolfsburg,Bundesliga,pl POL,29,2585,137.0,49.0,88.0,49.9,-0.1,5,186.0,511.0,979.0,114.0,154.0,413.0,15.0,19.0,4.1,51.87,16.13
Karl Jakob Hein,Valladolid,La Liga,ee EST,31,2790,163.0,68.0,96.0,58.6,-9.4,5,165.0,452.0,941.0,136.0,224.0,474.0,34.0,34.0,4.83,51.71,20.03
Karl-Johan Johnsson,Strasbourg,Ligue 1,se SWE,3,270,22.0,6.0,16.0,6.7,0.7,0,6.0,22.0,122.0,21.0,7.0,48.0,2.0,3.0,4.09,39.69,12.0
Kasper Schmeichel,Celtic,Champions League,dk DEN,10,900,54.0,17.0,38.0,17.5,0.5,3,24.0,59.0,332.0,43.0,66.0,156.0,2.0,5.0,3.33,29.76,15.42
Kauã Santos,Eint Frankfurt,Bundesliga,br BRA,9,765,46.0,12.0,35.0,14.3,2.3,3,40.0,116.0,248.0,34.0,44.0,137.0,16.0,18.0,4.46,42.91,16.52
Kauã Santos,Eint Frankfurt,Europa League,br BRA,5,450,31.0,7.0,23.0,7.5,0.5,0,21.0,69.0,157.0,24.0,25.0,72.0,12.0,3.0,4.89,45.06,14.63
Kepa Arrizabalaga,Bournemouth,Premier League,es ESP,31,2790,134.0,39.0,95.0,40.9,1.9,8,132.0,365.0,831.0,122.0,192.0,367.0,22.0,54.0,4.74,38.72,20.6
Kevin Müller,Heidenheim,Bundesliga,de GER,33,2939,169.0,64.0,105.0,59.2,-5.1,7,152.0,428.0,1031.0,153.0,271.0,453.0,21.0,20.0,4.96,38.26,16.52
