Player,Nation,Position,Team,Age,Born,Matches Played,Starts,Minutes Played,Goals Against,Shots on Target Against,Saves,Clean Sheets,Penalty Kicks Attempted,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Post-Shot Expected Goals,Launched Passes Completed,Launched Passes Attempted,Passes Attempted (GK),Through Balls,Goal Kicks Attempted,Crosses Opposed,Crosses Stopped,Sweeper Actions,Penalties Winner,Efficiency,% Saves,% Long Passes,% Crosses Stopped
Alex Padilla,es ESP,GK,Athletic Club,20,2003,5,3,321,34,58,69,14,85,89,35,46,50,94,94,51,62,67,80,41,52,33,32,65,52,20
Alex Palmer,eng ENG,GK,Ipswich Town,27,1996,13,13,1170,14,73,67,14,40,50,35,46,82,77,67,39,63,81,93,93,62,33,36,25,70,79
Alexander Meyer,de GER,GK,Dortmund,33,1991,3,3,270,59,30,35,76,17,20,35,46,52,45,66,95,25,30,33,77,62,33,68,50,14,86
Alexander Nübel,de GER,GK,Stuttgart,27,1996,41,41,3690,37,27,20,48,39,45,72,46,45,62,51,85,51,27,39,47,82,68,30,21,71,45
Alexander Schlager,at AUT,GK,at RB Salzburg,28,1996,4,4,335,3,97,93,14,84,89,35,46,96,48,59,39,45,63,74,81,97,33,34,19,20,67
Alexander Schwolow,de GER,GK,Union Berlin,32,1992,6,6,540,18,54,27,14,64,75,35,46,69,64,54,52,67,74,65,12,43,33,26,13,72,4
Aleš Mandous,cz CZE,GK,cz Slavia Prague,32,1992,2,2,180,24,93,91,14,99,96,99,46,91,42,35,87,91,28,27,38,62,99,86,37,76,41
Alisson,br BRA,GK,eng Liverpool,31,1992,34,34,3078,91,20,42,80,35,42,35,46,30,35,33,72,71,23,25,34,87,33,83,89,55,35
Alphonse Areola,fr FRA,GK,West Ham,31,1993,26,25,2260,36,52,56,48,17,20,35,46,55,76,72,68,77,86,77,45,72,33,39,51,56,24
Altay Bayındır,tr TUR,GK,eng Manchester Utd,26,1998,6,6,540,29,51,42,76,17,20,35,46,84,25,53,62,31,52,40,51,84,33,76,32,3,51
Amir Saipi,xk KVX,GK,ch Lugano,24,2000,8,8,750,51,52,59,81,77,62,92,46,9,9,8,8,8,8,8,12,12,91,8,57,0,0
