Player,Nation,Position,Team,Age,Born,Matches Played,Starts,Minutes Played,Goals Against,Shots on Target Against,Saves,Clean Sheets,Penalty Kicks Attempted,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Post-Shot Expected Goals,Launched Passes Completed,Launched Passes Attempted,Passes Attempted (GK),Through Balls,Goal Kicks Attempted,Crosses Opposed,Crosses Stopped,Sweeper Actions,Penalties Winner,Efficiency
Ivor Pandur,hr CRO,GK,Hull City,24,2000,44,44,3960,52,168,117,6,6,4,1,1,51.8,124,449,1746,185,278,686,37,63,2,-0.20000000000000284
Jacob Widell Zetterström,se SWE,GK,Derby County,26,1998,40,40,3600,50,150,99,9,3,1,2,0,50.1,220,774,987,172,253,550,44,30,2,0.10000000000000142
Jacopo Sassi,it ITA,GK,Modena,21,2003,1,1,90,3,5,3,0,0,0,0,0,1.1,6,14,28,4,8,16,0,2,0,-1.9
Jak Alnwick,eng ENG,GK,Cardiff City,31,1993,29,29,2610,45,126,81,5,4,3,1,0,43.6,132,440,718,91,182,384,15,42,1,-1.3999999999999986
James Beadle,eng ENG,GK,Sheffield Weds,20,2004,38,38,3420,59,140,80,9,5,4,1,0,54.4,177,561,1153,122,205,491,23,35,1,-4.600000000000001
James Pantemis,ca CAN,GK,Portland Timbers,28-148,1997,12,12,1080,16,64,46,3,5,2,3,0,17.4,60,139,380,49,89,187,7,15,3,1.3999999999999986
James Shea,eng ENG,GK,Luton Town,33,1991,2,1,147,1,5,4,1,0,0,0,0,2.0,12,43,61,6,15,21,4,4,0,1.0
James Trafford,eng ENG,GK,Burnley,21,2002,45,45,4050,16,103,85,29,2,0,2,0,27.8,148,574,1492,194,246,527,30,50,2,11.8
Jamie Cumming,eng ENG,GK,Oxford United,24,1999,45,45,4050,62,201,139,13,4,2,2,0,71.6,279,871,1500,190,326,791,38,51,2,9.599999999999994
Jari De Busser,be BEL,GK,Go Ahead Eag,24,1999,16,16,1440,23,88,66,5,1,1,0,0,21.0,68,234,662,83,85,311,15,19,0,-2.0
Jasper Schendelaar,nl NED,GK,Zwolle,23,2000,30,30,2700,45,144,100,6,5,3,0,2,49.5,152,526,991,160,186,470,38,23,2,4.5
Javier Burrai,ec ECU,GK,ar Talleres,34-283,1990,5,4,405,3,14,10,3,1,0,1,0,3.3,22,46,112,26,35,73,5,4,1,0.30000000000000004
Javier Otero,ve VEN,GK,Orlando City,22-243,2002,2,2,180,2,7,5,0,1,1,0,0,2.6,5,9,32,10,11,39,4,1,0,0.6000000000000001
Jayden Hibbert,jm JAM,GK,Atlanta Utd,20-348,2004,1,1,90,1,5,4,0,0,0,0,0,0.8,0,7,43,4,5,11,1,2,0,-0.19999999999999996
Jeffrey Gal,us USA,GK,Chicago Fire,32-104,1993,7,6,591,9,19,11,1,1,1,0,0,6.2,19,52,149,27,41,73,7,3,0,-2.8
Jeroen Houwen,nl NED,GK,RKC Waalwijk,28,1996,24,24,2160,48,133,87,4,2,2,0,0,45.4,178,433,735,95,191,380,17,21,0,-2.6000000000000014
Jeroen Zoet,nl NED,GK,AZ Alkmaar,33,1991,6,6,540,3,12,10,3,0,0,0,0,1.5,37,117,180,12,45,65,4,4,0,-1.5
Jesús Camargo,ve VEN,GK,ve Dep Táchira,27-219,1997,6,6,540,11,37,26,0,0,0,0,0,11.1,22,65,136,30,55,108,4,15,0,0.09999999999999964
Jesús Rodríguez,mx MEX,GK,Puebla,31,1993,4,4,360,8,20,12,1,0,0,0,0,8.0,21,41,123,18,38,48,4,4,0,0.0
