Player,Nation,Position,Age,Born,Matches Played,Starts,Minutes Played,Goals,xG,Shots,Shots on Target,Penalties Scored,Penalties Attempted,Shot Creating Actions,Goal Creating Actions,Passes Completed (Total),Passes Attempted (Total),Passes Completed (Short),Passes Attempted (Short),Passes Completed (Medium),Passes Attempted (Medium),Passes Completed (Long),Passes Attempted (Long),Assists,Expected Assists (xAG),Expected Assists (xA),Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Progressive Passes,Progressive Carries,Progressive Passes.1,Progressive Runs,Tackles,Tackles Won,Tackles Defensive Third,Tackles Middle Third,Tackles Attacking Third,Challenges Tackled,Challenges Attempted,Challenges Lost,Blocks,Interceptions,Clearances,Errors,Touches,Touches Defensive Penalty Area,Touches Defensive Third,Touches Middle Third,Touches Attacking Third,Touches Attacking Penalty Area,Live-Ball Touches,Take-Ons Attempted,Successful Take-Ons,Carries,Progressive Carries.1,Carries into Final Third,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,Yellow Cards,Red Cards,Second Yellow Cards,Fouls Committed,Fouls Drawn,Offsides,Penalties Won,Penalties Conceded,Own Goals,Ball Recoveries,Aerial Duels Won,Aerial Duels Lost,Total Aerial Duels,Ball Losses,Progressive Actions (Total),Actions created,Actions in the Penalty Area,Total Duels won
Son,es ESP,DF,30,1994,7,7,614,0,0.1,2,1,0,0,9,0,294,372,131,149,119,139,40,70,0,0.3,0.6,5,18,8,5,14,14,14,21,7,5,7,0,0,6,10,4,5,2,28,2,436,30,162,170,107,5,436,17,7,222,14,11,2,7,2,238,21,1,0,0,6,3,0,0,0,0,34,6,4,10,9,70,9,20,11
Son Heung-min,kr KOR,FW,32,1992,40,33,2778,10,9.8,76,32,2,3,151,17,984,1256,605,672,280,350,45,106,10,9.7,6.3,62,52,65,8,145,132,145,360,19,9,4,8,7,6,30,24,15,7,19,2,1548,21,154,501,909,167,1545,124,49,1037,132,66,65,38,39,1193,360,1,0,0,8,36,16,1,0,0,110,6,16,22,77,997,168,305,15
Sondre Auklend,no NOR,MF,21,2003,8,0,105,0,0.0,0,0,0,0,2,0,44,50,23,26,13,14,2,2,0,0.1,0.1,1,0,2,0,4,3,4,6,6,4,4,2,0,2,6,4,3,1,2,0,73,4,16,31,27,1,73,5,1,42,3,5,0,7,2,47,6,0,0,0,4,6,0,0,0,0,4,0,1,1,9,19,2,3,6
Sondre Brunstad Fet,no NOR,MF,27,1997,14,5,508,1,0.5,3,1,0,0,7,1,166,200,104,119,45,50,2,2,1,0.3,0.2,3,7,1,0,14,9,14,14,16,11,5,7,4,8,15,7,9,6,9,0,273,13,75,134,66,15,273,11,5,143,9,8,4,11,7,164,14,1,0,0,9,4,0,0,0,0,18,5,5,10,18,51,8,20,19
Sondre Granaas,no NOR,MO,17,2006,5,1,135,0,0.2,4,2,0,0,5,0,68,88,29,33,34,44,4,5,0,0.0,0.2,1,8,1,0,17,5,17,18,6,3,1,4,1,3,6,3,4,1,0,0,114,1,8,65,42,7,114,7,5,71,5,2,2,7,2,84,18,0,0,0,3,2,1,0,0,0,12,2,1,3,9,58,5,10,6
Sondre Sørli,no NOR,FW,28,1995,8,1,195,0,0.2,4,2,0,0,7,1,49,70,27,33,18,28,1,3,1,0.1,0.3,3,0,2,1,5,8,5,30,2,2,1,0,1,0,1,1,1,0,1,0,94,3,7,23,65,11,94,9,2,64,8,9,2,4,2,68,30,0,0,0,2,0,1,0,0,0,7,2,6,8,6,73,8,16,2
Sorba Thomas,wls WAL,MO,24,1999,25,15,1321,1,1.5,9,1,0,0,54,6,360,550,178,217,122,173,48,127,3,3.7,3.0,36,27,24,17,34,41,34,93,14,6,7,5,2,10,18,8,12,9,27,1,674,25,111,276,303,20,674,24,9,372,41,29,7,26,25,427,93,3,0,0,13,17,2,0,0,0,66,7,17,24,51,261,60,68,16
Soualiho Meïté,fr FRA,MF,30,1994,2,2,122,0,0.0,1,0,0,0,0,0,47,52,24,26,19,20,4,5,0,0.0,0.1,0,4,1,0,7,0,7,1,5,0,2,3,0,1,2,1,0,3,3,0,69,7,20,33,16,0,69,2,1,39,0,3,0,3,1,39,1,0,0,0,0,0,0,0,0,0,10,0,1,1,4,9,0,1,1
Souleymane Touré,fr FRA,DF,21,2003,12,11,733,1,0.4,4,2,0,0,8,0,474,517,197,210,230,240,44,57,0,0.0,0.2,2,34,4,1,26,6,26,3,7,6,4,3,0,4,5,1,15,9,17,1,585,57,260,282,45,10,585,10,5,378,6,5,1,7,0,424,3,2,2,0,15,6,1,0,0,1,23,7,5,12,7,38,8,16,10
Soumaïla Coulibaly,fr FRA,DF,20,2003,15,12,1074,0,0.2,5,0,0,0,14,5,553,620,159,169,319,336,72,109,0,0.1,0.2,2,24,1,0,28,4,28,1,13,6,8,5,0,4,6,2,14,15,55,0,739,111,426,299,16,7,739,5,2,417,4,3,0,5,1,486,1,1,0,0,15,6,0,1,0,0,43,12,8,20,6,34,19,8,10
Soungoutou Magassa,fr FRA,MF,20,2003,28,14,1312,1,0.7,10,4,0,0,21,1,683,812,313,353,302,330,54,88,1,1.0,1.0,9,88,11,2,74,8,74,14,54,26,19,28,7,30,55,25,25,26,27,3,1003,46,236,640,137,9,1003,25,16,477,8,9,1,16,15,638,14,5,1,0,32,22,0,0,0,0,113,19,24,43,31,110,22,23,56
Srđan Grahovac,ba BIH,MF,31,1992,6,4,414,0,0.0,2,0,0,0,4,0,226,272,88,106,113,129,14,23,0,0.0,0.3,0,23,1,0,18,5,18,0,7,2,2,5,0,6,11,5,5,1,8,0,305,10,70,196,39,4,305,2,2,163,5,3,2,4,1,198,0,0,0,0,5,7,0,0,0,0,19,5,5,10,5,23,4,7,8
Stanis Idumbo,be BEL,MO,19,2005,14,3,284,1,0.6,4,2,0,0,7,1,63,76,34,39,24,26,5,8,1,0.7,0.1,6,2,1,0,8,10,8,20,9,5,3,4,2,3,5,2,3,4,2,0,130,6,26,54,55,6,130,19,9,88,10,5,4,12,11,91,20,0,0,0,1,7,0,0,0,0,19,1,0,1,23,58,8,11,8
