Player,Nation,Position,Team,Age,Born,Matches Played,Starts,Minutes Played,Goals Against,Shots on Target Against,Saves,Clean Sheets,Penalty Kicks Attempted,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Post-Shot Expected Goals,Launched Passes Completed,Launched Passes Attempted,Passes Attempted (GK),Through Balls,Goal Kicks Attempted,Crosses Opposed,Crosses Stopped,Sweeper Actions,Penalties Winner,Efficiency,% Saves,% Long Passes,% Crosses Stopped
Matías Tagliamonte,ar ARG,GK,Unión,27-150,1998,4,4,360,91,10,15,87,82,21,99,45,6,57,64,8,61,59,82,73,6,99,60,68,40,59
Max O'Leary,ie IRL,GK,Bristol City,27,1996,46,46,4140,55,34,38,44,39,45,38,45,40,65,78,55,74,18,29,58,86,35,48,47,31,68
Maxence Prevot,fr FRA,GK,OH Leuven,27,1997,1,1,90,70,76,89,11,18,21,38,45,95,99,97,91,81,75,99,96,59,35,99,87,97,72
Maxime Crépeau,ca CAN,GK,Portland Timbers,31-069,1994,10,10,900,35,83,84,39,18,21,38,45,62,57,47,70,73,36,19,29,52,35,41,64,65,40
Maxime Delanghe,be BEL,GK,Cercle Brugge,23,2001,21,21,1881,48,50,50,65,62,62,87,45,58,63,90,20,4,43,33,16,84,82,68,46,12,16
Michael Brouwer,nl NED,GK,Utrecht,31,1993,3,3,270,93,22,60,94,89,91,38,45,32,77,88,60,39,75,96,5,75,35,97,94,25,5
Michael Collodi,us USA,GK,FC Dallas,24-055,2001,2,2,180,70,14,15,87,18,21,38,45,45,14,19,71,89,9,46,29,97,35,83,39,20,30
Michael Cooper,eng ENG,GK,Sheffield Utd,24,1999,43,43,3870,83,21,38,84,58,59,78,45,17,79,70,84,60,25,57,89,49,71,71,81,64,87
Michael Verrips,nl NED,GK,Dender,27,1996,27,27,2336,31,74,76,54,84,88,38,45,79,77,72,24,12,55,81,52,14,35,75,55,54,39
Michele Cerofolini,it ITA,GK,Frosinone,25,1999,36,36,3240,56,47,47,44,68,64,89,45,47,49,68,66,39,51,76,54,29,86,64,51,21,43
Mickey van der Hart,nl NED,GK,Heerenveen,30,1994,19,18,1695,22,87,85,30,65,75,38,45,88,51,57,97,57,5,22,37,83,35,81,52,38,49
Miguel Jiménez Ponce,mx MEX,GK,Puebla,34,1990,24,24,2160,25,72,65,32,82,67,95,45,68,66,86,8,13,96,95,49,21,94,26,27,21,28
