Team,Average Age,Possession,Matches Played,Goals,xG,Shots,Shots on Target,Penalties Scored,Penalties Attempted,Shot Creating Actions,Goal Creating Actions,Passes Completed (Total),Passes Attempted (Total),Passes Completed (Short),Passes Attempted (Short),Passes Completed (Medium),Passes Attempted (Medium),Passes Completed (Long),Passes Attempted (Long),Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Progressive Passes,Progressive Carries,Progressive Passes Received,Tackles,Tackles Won,Tackles Defensive Third,Tackles Middle Third,Tackles Attacking Third,Challenges Tackled,Challenges Attempted,Challenges Lost,Blocks,Interceptions,Clearances,Errors,Touches,Touches Defensive Penalty Area,Touches Defensive Third,Touches Middle Third,Touches Attacking Third,Touches Attacking Penalty Area,Live-Ball Touches,Take-Ons Attempted,Successful Take-Ons,Carries,Carries into Final Third,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Yellow Cards,Red Cards,Second Yellow Cards,Fouls Committed,Fouls Drawn,Offsides,Penalties Won,Penalties Conceded,Own Goals,Ball Recoveries,Aerial Duels Won,Aerial Duels Lost,Goals Against,Shots on Target Against,Saves,Clean Sheets,Penalty Kicks Attempted,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Post-Shot Expected Goals,Launched Passes Completed,Launched Passes Attempted,Passes Attempted (GK),Through Balls,Goal Kicks Attempted,Crosses Opposed,Crosses Stopped,Sweeper Actions
Gil Vicente FC,25.5,50.6,34,33,33.8,325,95,4,4,578,54,13018,16155,4916,5625,6301,7142,1512,2601,246,804,205,48,1100,451,1091,539,341,256,228,55,309,528,219,357,310,868,17,19987,2354,7785,8694,3678,555,19983,560,234,11006,322,102,532,300,12902,72,5,2,394,516,50,2,7,1,1321,431,452,47,128,82,7,7,6,0,1,44.0,134,366,992,161,286,502,36,36
Moreirense,26.7,47.5,34,41,33.4,342,125,5,5,622,67,11338,14487,4853,5521,4886,5688,1153,2345,262,729,175,57,936,416,927,547,311,283,210,54,275,524,249,336,283,1015,24,18482,2245,7342,7889,3445,471,18477,524,235,9757,299,84,551,300,11246,84,2,1,497,518,56,2,5,0,1266,499,559,50,137,87,7,5,5,0,0,46.7,167,508,901,147,274,564,41,30
Nacional,25.3,47.5,34,31,37.8,451,129,3,5,779,52,9734,13055,3560,4219,4517,5422,1458,2776,333,754,198,76,960,466,955,555,383,287,210,58,280,541,261,387,287,878,30,17042,2075,6480,7156,3613,556,17037,545,239,8471,355,81,549,242,9653,83,5,3,458,446,56,4,11,0,1464,502,504,50,156,106,8,11,9,0,2,51.7,172,496,692,110,316,528,33,26
Porto,24.2,61.7,34,65,56.5,474,170,9,11,872,115,16032,19080,6695,7394,7527,8396,1524,2521,363,1264,350,101,1644,578,1631,472,275,174,202,96,238,449,211,300,253,521,13,22533,1710,5984,10789,5951,861,22522,575,234,12975,436,146,495,295,15901,92,4,1,483,438,48,8,8,1,1375,436,424,30,93,62,16,8,6,2,0,32.5,136,315,1086,145,183,324,21,53
Rio Ave,25.0,47.8,34,39,38.9,371,123,3,4,646,60,11497,14661,4520,5208,5404,6234,1297,2429,261,819,191,51,1051,493,1041,597,366,318,210,69,325,618,293,359,312,959,27,18711,2368,7215,8036,3671,555,18707,670,293,10059,324,102,576,305,11406,79,5,2,458,453,93,3,3,5,1468,384,416,55,169,119,5,3,3,0,0,53.1,135,454,928,164,312,533,22,29
Santa Clara,26.5,44.6,34,35,42.6,378,124,2,4,631,54,9569,13021,3984,4683,4213,5142,1112,2475,261,753,191,68,867,401,858,559,326,262,229,68,262,513,251,335,288,966,7,16921,1868,6093,7374,3649,558,16917,519,232,8366,302,87,520,229,9475,117,5,4,565,426,63,4,6,0,1329,547,516,32,114,81,11,6,4,1,1,29.1,164,518,732,118,289,453,39,27
Sporting CP,23.9,60.1,34,86,72.2,611,210,13,13,1108,145,16353,19150,7362,8109,7404,8226,1275,2052,482,1531,358,58,1786,797,1767,545,332,205,241,99,277,463,186,318,252,556,17,22870,1522,5409,11230,6468,1102,22857,774,363,14600,502,286,515,281,16235,68,6,2,391,470,37,8,4,2,1551,365,322,27,73,48,15,4,4,0,0,24.2,63,170,584,116,177,336,17,36
Vitória,26.5,56.7,34,43,44.6,444,141,3,3,778,74,14091,17462,6151,6955,6136,7045,1473,2593,322,1170,280,75,1535,504,1526,528,332,256,190,82,283,511,228,319,267,764,15,21137,1816,6164,9918,5231,715,21134,479,197,11325,393,95,512,262,13973,86,1,0,497,464,55,3,7,0,1388,470,473,37,100,63,13,7,5,0,2,32.9,115,311,867,120,243,389,21,35
Alianza Lima,27.9,37.3,6,5,4.9,78,25,0,0,127,6,1316,1878,572,678,539,699,167,383,57,113,38,15,164,66,163,98,62,55,36,7,56,116,60,60,61,144,1,2534,309,904,1096,560,101,2534,99,56,1129,42,12,86,52,1303,16,0,0,77,76,11,0,0,0,254,95,86,7,20,13,1,0,0,0,0,5.3,29,81,112,20,41,89,2,3
Atlético Mineiro,29.2,65.0,13,22,17.6,177,58,0,1,313,36,6563,7772,2928,3197,2889,3240,578,970,135,527,97,33,589,224,585,212,130,96,82,34,98,181,83,128,106,260,3,9145,720,2481,4552,2171,224,9144,230,101,5326,194,28,217,114,6513,33,0,0,160,129,25,0,1,0,565,212,164,11,34,23,6,1,1,0,0,12.9,41,111,333,49,80,159,10,23
