Player,Nationality,Team,League,Position,General Position,Age,Minutes,Matches,Line Index,Passes Index
Matvei Safonov,RUS,Paris S-G,"French Ligue 1, UEFA Champions League",GK,Goalkeeper,26,270,1,43,58
Matz Sels,BEL,Nott'ham Forest,"English Premier League, UEFA Europa League",GK,Goalkeeper,33,1633,1,41,37
Matías Dituro,ARG,Elche,Spanish La Liga,GK,Goalkeeper,38,540,1,46,84
Maxime Dupé,FRA,Nice,"French Ligue 1, UEFA Europa League",GK,Goalkeeper,32,180,1,81,43
Melker Ellborg,SWE,Malmö,UEFA Europa League,GK,Goalkeeper,22,270,1,80,18
Melvin Zinga,FRA,Angers,French Ligue 1,GK,Goalkeeper,23,180,1,31,54
Michael Brouwer,NED,Utrecht,UEFA Europa League,GK,Goalkeeper,32,112,1,58,67
Michael Zetterer,GER,Eint Frankfurt,"German Bundesliga, UEFA Champions League",GK,Goalkeeper,30,1440,1,27,74
Michele Di Gregorio,ITA,Juventus,"Italian Serie A, UEFA Champions League",GK,Goalkeeper,28,1800,1,55,44
Mike Maignan,FRA,Milan,Italian Serie A,GK,Goalkeeper,30,1405,1,76,36
Mike Penders,BEL,Strasbourg,"French Ligue 1, UEFA Europa Conference League",GK,Goalkeeper,20,1980,1,61,52
Mile Svilar,SRB,Roma,"Italian Serie A, UEFA Europa League",GK,Goalkeeper,26,2160,1,64,62
Mio Backhaus,GER,Werder Bremen,German Bundesliga,GK,Goalkeeper,21,1170,1,67,43
Mirko Salvi,SUI,Basel,UEFA Europa League,GK,Goalkeeper,31,90,1,31,27
Miłosz Piekutowski,POL,Jagiellonia,UEFA Europa Conference League,GK,Goalkeeper,19,180,1,84,41
Moritz Nicolas,GER,Gladbach,German Bundesliga,GK,Goalkeeper,28,1350,1,60,77
Mory Diaw,SEN,Le Havre,French Ligue 1,GK,Goalkeeper,32,1440,1,32,73
Nauzet García,ESP,Red Imps,UEFA Europa Conference League,GK,Goalkeeper,31,90,1,29,50
