Player,Game Week,Position,Team,League,Minutes,Rate
David Soria,J15,GK,Getafe,La Liga,90,5.18
Augusto Batalla,J15,GK,Rayo Vallecano,La Liga,90,5.25
Julen Agirrezabala,J15,GK,Athletic Club,La Liga,90,5.71
Álex Remiro,J15,GK,Real Sociedad,La Liga,90,7.43
Rui Silva,J15,GK,Betis,La Liga,90,4.65
Álvaro Fernández,J15,GK,Sevilla,La Liga,90,5.22
Sergio Herrera,J15,GK,Osasuna,La Liga,90,6.8
Leo Román,J19,GK,Mallorca,La Liga,90,5.52
Iñaki Peña,J19,GK,Barcelona,La Liga,90,5.92
Michele Di Gregorio,J16,GK,Juventus,Serie A,90,4.72
Filip Stankovic,J16,GK,Venezia,Serie A,90,5.16
Julen Agirrezabala,J19,GK,Athletic Club,La Liga,90,6.53
Thibaut Courtois,J19,GK,Real Madrid,La Liga,90,4.77
Vicente Guaita,J16,GK,Celta Vigo,La Liga,90,8.17
Dominik Greif,J16,GK,Mallorca,La Liga,90,4.75
Jasper Cillessen,J16,GK,Las Palmas,La Liga,90,5.58
Karl Jakob Hein,J16,GK,Valladolid,La Liga,90,5.92
Fran Vieites,J16,GK,Betis,La Liga,90,5.16
Iñaki Peña,J16,GK,Barcelona,La Liga,90,6.16
Giorgi Mamardashvili,J16,GK,Valencia,La Liga,90,5.54
Augusto Batalla,J16,GK,Rayo Vallecano,La Liga,90,8.79
Paulo Gazzaniga,J16,GK,Girona,La Liga,90,4.59
Thibaut Courtois,J16,GK,Real Madrid,La Liga,90,7.31
Marko Dmitrović,J16,GK,Leganés,La Liga,90,4.78
Álex Remiro,J16,GK,Real Sociedad,La Liga,90,8.2
Julen Agirrezabala,J16,GK,Athletic Club,La Liga,90,8.18
Diego Conde,J16,GK,Villarreal,La Liga,72,4.08
Sergio Herrera,J16,GK,Osasuna,La Liga,90,5.39
Antonio Sivera,J16,GK,Alavés,La Liga,90,6.5
Jan Oblak,J16,GK,Atlético Madrid,La Liga,90,3.94
Álvaro Fernández,J16,GK,Sevilla,La Liga,90,4.36
Wladimiro Falcone,J16,GK,Lecce,Serie A,90,5.63
Stefano Turati,J16,GK,Monza,Serie A,90,5.15
David Soria,J16,GK,Getafe,La Liga,90,7.68
Joan García,J16,GK,Espanyol,La Liga,90,6.24
Karl Jakob Hein,J17,GK,Valladolid,La Liga,90,7.74
Stole Dimitrievski,J17,GK,Valencia,La Liga,90,5.57
Joan García,J17,GK,Espanyol,La Liga,90,7.41
Sergio Herrera,J17,GK,Osasuna,La Liga,90,8.05
Dominik Greif,J17,GK,Mallorca,La Liga,90,5.98
Paulo Gazzaniga,J17,GK,Girona,La Liga,90,4.7
Álvaro Fernández,J17,GK,Sevilla,La Liga,90,9.08
Vicente Guaita,J17,GK,Celta Vigo,La Liga,90,5.54
Augusto Batalla,J17,GK,Rayo Vallecano,La Liga,90,4.71
Thibaut Courtois,J17,GK,Real Madrid,La Liga,90,4.47
Jan Oblak,J17,GK,Atlético Madrid,La Liga,90,7.22
David Soria,J17,GK,Getafe,La Liga,90,6.92
Antonio Sivera,J17,GK,Alavés,La Liga,90,6.45
Unai Simón,J17,GK,Athletic Club,La Liga,90,6.04
Álex Remiro,J17,GK,Real Sociedad,La Liga,90,8.45
Jasper Cillessen,J17,GK,Las Palmas,La Liga,90,8.19
Luiz Lúcio Reis Júnior,J17,GK,Villarreal,La Liga,90,5.66
Fran Vieites,J17,GK,Betis,La Liga,90,7.03
Zion Suzuki,J16,GK,Parma,Serie A,90,4.76
Lorenzo Montipò,J16,GK,Hellas Verona,Serie A,90,5.43
Iñaki Peña,J17,GK,Barcelona,La Liga,90,5.64
Marko Dmitrović,J17,GK,Leganés,La Liga,90,9.17
Luiz Lúcio Reis Júnior,J12,GK,Villarreal,La Liga,90,6.5
Augusto Batalla,J12,GK,Rayo Vallecano,La Liga,90,7.32
Joan García,J13,GK,Espanyol,La Liga,90,7.12
Stole Dimitrievski,J13,GK,Valencia,La Liga,90,6.67
Paulo Gazzaniga,J18,GK,Girona,La Liga,90,6.62
Karl Jakob Hein,J18,GK,Valladolid,La Liga,90,5.03
David Soria,J18,GK,Getafe,La Liga,90,6.08
Dominik Greif,J18,GK,Mallorca,La Liga,90,8.64
Vicente Guaita,J18,GK,Celta Vigo,La Liga,90,7.57
Álex Remiro,J18,GK,Real Sociedad,La Liga,90,6.01
Sergio Herrera,J18,GK,Osasuna,La Liga,90,5.87
Unai Simón,J18,GK,Athletic Club,La Liga,90,6.4
Iñaki Peña,J18,GK,Barcelona,La Liga,90,4.48
Jan Oblak,J18,GK,Atlético Madrid,La Liga,90,6.97
Stole Dimitrievski,J18,GK,Valencia,La Liga,90,5.04
Antonio Sivera,J18,GK,Alavés,La Liga,53,7.25
Jesús Owono,J18,GK,Alavés,La Liga,37,4.72
Thibaut Courtois,J18,GK,Real Madrid,La Liga,90,4.93
Álvaro Fernández,J18,GK,Sevilla,La Liga,90,4.41
Łukasz Skorupski,J16,GK,Bologna,Serie A,90,8.82
David de Gea,J16,GK,Fiorentina,Serie A,90,6.05
Jasper Cillessen,J18,GK,Las Palmas,La Liga,90,7.45
Joan García,J18,GK,Espanyol,La Liga,90,5.62
Marko Dmitrović,J18,GK,Leganés,La Liga,90,4.67
Luiz Lúcio Reis Júnior,J18,GK,Villarreal,La Liga,90,4.51
Fran Vieites,J18,GK,Betis,La Liga,90,5.65
Augusto Batalla,J18,GK,Rayo Vallecano,La Liga,90,6.85
Stole Dimitrievski,J12,GK,Valencia,La Liga,90,5.26
Thibaut Courtois,J12,GK,Real Madrid,La Liga,90,6.18
Dani Cárdenas,J19,GK,Rayo Vallecano,La Liga,90,6.54
Vicente Guaita,J19,GK,Celta Vigo,La Liga,90,4.46
Jesús Owono,J19,GK,Alavés,La Liga,90,5.98
Paulo Gazzaniga,J19,GK,Girona,La Liga,90,7.94
Karl Jakob Hein,J19,GK,Valladolid,La Liga,90,7.99
Fran Vieites,J19,GK,Betis,La Liga,90,5.56
Joan García,J19,GK,Espanyol,La Liga,90,7.26
Marko Dmitrović,J19,GK,Leganés,La Liga,90,6.46
Ørjan Nyland,J19,GK,Sevilla,La Liga,90,5.62
Giorgi Mamardashvili,J19,GK,Valencia,La Liga,90,5.91
Jasper Cillessen,J19,GK,Las Palmas,La Liga,90,4.73
David Soria,J19,GK,Getafe,La Liga,90,6.95
Pepe Reina,J16,GK,Como,Serie A,90,7.19
Mile Svilar,J16,GK,Roma,Serie A,90,5.63
Jan Oblak,J19,GK,Atlético Madrid,La Liga,90,7.4
Sergio Herrera,J19,GK,Osasuna,La Liga,90,7.14
Álex Remiro,J19,GK,Real Sociedad,La Liga,90,8.91
Luiz Lúcio Reis Júnior,J19,GK,Villarreal,La Liga,90,6.48
Joan García,J20,GK,Espanyol,La Liga,90,5.91
Karl Jakob Hein,J20,GK,Valladolid,La Liga,90,4.97
Paulo Gazzaniga,J20,GK,Girona,La Liga,90,6.13
Ørjan Nyland,J20,GK,Sevilla,La Liga,90,6.48
Marko Dmitrović,J20,GK,Leganés,La Liga,90,8.63
Jan Oblak,J20,GK,Atlético Madrid,La Liga,90,5.16
Adrián,J20,GK,Betis,La Liga,90,4.81
Jesús Owono,J20,GK,Alavés,La Liga,90,5.49
David Soria,J20,GK,Getafe,La Liga,90,7.14
Iñaki Peña,J20,GK,Barcelona,La Liga,90,5.82
Vicente Guaita,J20,GK,Celta Vigo,La Liga,90,5.4
Unai Simón,J20,GK,Athletic Club,La Liga,90,5.56
Thibaut Courtois,J20,GK,Real Madrid,La Liga,90,5.69
Jasper Cillessen,J20,GK,Las Palmas,La Liga,90,5.9
Sergio Herrera,J20,GK,Osasuna,La Liga,90,6.2
Augusto Batalla,J20,GK,Rayo Vallecano,La Liga,90,5.26
Mike Maignan,J16,GK,Milan,Serie A,90,7.11
Nicola Leali,J16,GK,Genoa,Serie A,90,8.41
Giorgi Mamardashvili,J20,GK,Valencia,La Liga,90,7.15
Álex Remiro,J20,GK,Real Sociedad,La Liga,90,6.11
Luiz Lúcio Reis Júnior,J20,GK,Villarreal,La Liga,90,7.97
Dominik Greif,J20,GK,Mallorca,La Liga,90,4.6
Jasper Cillessen,J21,GK,Las Palmas,La Liga,90,6.76
Sergio Herrera,J21,GK,Osasuna,La Liga,90,5.75
Dominik Greif,J21,GK,Mallorca,La Liga,90,5.91
Adrián,J21,GK,Betis,La Liga,90,8.1
Jan Oblak,J21,GK,Atlético Madrid,La Liga,90,5.13
Luiz Lúcio Reis Júnior,J21,GK,Villarreal,La Liga,90,6.99
Ørjan Nyland,J21,GK,Sevilla,La Liga,90,5.6
Joan García,J21,GK,Espanyol,La Liga,90,6.19
Karl Jakob Hein,J21,GK,Valladolid,La Liga,90,4.49
Thibaut Courtois,J21,GK,Real Madrid,La Liga,90,6.88
Augusto Batalla,J21,GK,Rayo Vallecano,La Liga,90,6.66
Paulo Gazzaniga,J21,GK,Girona,La Liga,45,6.58
Pau López,J21,GK,Girona,La Liga,45,4.75
Álex Remiro,J21,GK,Real Sociedad,La Liga,90,4.29
David Soria,J21,GK,Getafe,La Liga,90,8.96
Unai Simón,J21,GK,Athletic Club,La Liga,90,7.65
Marko Dmitrović,J21,GK,Leganés,La Liga,90,8.78
Ivan Provedel,J16,GK,Lazio,Serie A,90,3.62
Yann Sommer,J16,GK,Inter,Serie A,90,7.86
Wojciech Szczęsny,J21,GK,Barcelona,La Liga,90,5.73
Giorgi Mamardashvili,J21,GK,Valencia,La Liga,90,4.13
Jesús Owono,J21,GK,Alavés,La Liga,90,5.59
Vicente Guaita,J21,GK,Celta Vigo,La Liga,90,5.68
Marko Dmitrović,J22,GK,Leganés,La Liga,90,6.39
Augusto Batalla,J22,GK,Rayo Vallecano,La Liga,90,7.24
David Soria,J22,GK,Getafe,La Liga,90,7.3
Ørjan Nyland,J22,GK,Sevilla,La Liga,90,8.07
Diego Conde,J22,GK,Villarreal,La Liga,90,5.17
Karl Jakob Hein,J22,GK,Valladolid,La Liga,90,4.11
Jan Oblak,J22,GK,Atlético Madrid,La Liga,90,7.08
Dominik Greif,J22,GK,Mallorca,La Liga,90,5.6
Joan García,J22,GK,Espanyol,La Liga,90,8.25
Thibaut Courtois,J22,GK,Real Madrid,La Liga,90,5.2
Wojciech Szczęsny,J22,GK,Barcelona,La Liga,90,7.49
Jesús Owono,J22,GK,Alavés,La Liga,90,6.84
Giorgi Mamardashvili,J22,GK,Valencia,La Liga,90,5.84
Vicente Guaita,J22,GK,Celta Vigo,La Liga,90,5.32
Sergio Herrera,J22,GK,Osasuna,La Liga,90,6.4
Álex Remiro,J22,GK,Real Sociedad,La Liga,90,4.7
Lorenzo Montipò,J17,GK,Hellas Verona,Serie A,90,6.75
Mike Maignan,J17,GK,Milan,Serie A,90,7.94
Adrián,J22,GK,Betis,La Liga,90,5.13
Unai Simón,J22,GK,Athletic Club,La Liga,90,5.74
Paulo Gazzaniga,J22,GK,Girona,La Liga,90,6.08
Jasper Cillessen,J22,GK,Las Palmas,La Liga,90,5.55
Augusto Batalla,J23,GK,Rayo Vallecano,La Liga,90,7.86
Karl Jakob Hein,J23,GK,Valladolid,La Liga,90,5.88
Vicente Guaita,J23,GK,Celta Vigo,La Liga,90,5.55
Adrián,J23,GK,Betis,La Liga,90,5.11
Unai Simón,J23,GK,Athletic Club,La Liga,90,7.28
Paulo Gazzaniga,J23,GK,Girona,La Liga,90,5.93
Jasper Cillessen,J23,GK,Las Palmas,La Liga,90,5.4
Diego Conde,J23,GK,Villarreal,La Liga,90,6.23
Thibaut Courtois,J23,GK,Real Madrid,La Liga,90,5.27
Jan Oblak,J23,GK,Atlético Madrid,La Liga,90,7.31
Antonio Sivera,J23,GK,Alavés,La Liga,90,7.1
David Soria,J23,GK,Getafe,La Liga,90,8.37
Giorgi Mamardashvili,J23,GK,Valencia,La Liga,90,8.02
Marko Dmitrović,J23,GK,Leganés,La Liga,90,5.26
Álex Remiro,J23,GK,Real Sociedad,La Liga,90,5.76
Joan García,J23,GK,Espanyol,La Liga,90,5.45
Pietro Terracciano,J2,GK,Fiorentina,Serie A,90,8.22
Jesse Joronen,J2,GK,Venezia,Serie A,90,8.69
Vanja Milinković-Savić,J17,GK,Torino,Serie A,90,5.77
Federico Ravaglia,J17,GK,Bologna,Serie A,90,7.48
Ørjan Nyland,J23,GK,Sevilla,La Liga,90,4.22
Wojciech Szczęsny,J23,GK,Barcelona,La Liga,90,5.98
Dominik Greif,J23,GK,Mallorca,La Liga,90,6.45
Sergio Herrera,J23,GK,Osasuna,La Liga,90,6.46
Paulo Gazzaniga,J24,GK,Girona,La Liga,90,4.9
David Soria,J24,GK,Getafe,La Liga,90,6.58
Marko Dmitrović,J24,GK,Leganés,La Liga,90,5.38
Antonio Sivera,J24,GK,Alavés,La Liga,90,4.7
Sergio Herrera,J24,GK,Osasuna,La Liga,90,6.98
Thibaut Courtois,J24,GK,Real Madrid,La Liga,90,5.94
Jan Oblak,J24,GK,Atlético Madrid,La Liga,90,6.38
Vicente Guaita,J24,GK,Celta Vigo,La Liga,90,5.42
Diego Conde,J24,GK,Villarreal,La Liga,90,6.5
Giorgi Mamardashvili,J24,GK,Valencia,La Liga,90,5.95
Joan García,J24,GK,Espanyol,La Liga,90,6.05
Unai Simón,J24,GK,Athletic Club,La Liga,90,5.74
Karl Jakob Hein,J24,GK,Valladolid,La Liga,90,4.37
Ørjan Nyland,J24,GK,Sevilla,La Liga,90,7.83
Dominik Greif,J24,GK,Mallorca,La Liga,90,6.22
Jasper Cillessen,J24,GK,Las Palmas,La Liga,90,4.22
Nicola Leali,J17,GK,Genoa,Serie A,90,4.86
Alex Meret,J17,GK,Napoli,Serie A,90,6.06
Adrián,J24,GK,Betis,La Liga,90,6.79
Álex Remiro,J24,GK,Real Sociedad,La Liga,90,5.15
Wojciech Szczęsny,J24,GK,Barcelona,La Liga,90,8.08
Augusto Batalla,J24,GK,Rayo Vallecano,La Liga,90,7.17
Vicente Guaita,J25,GK,Celta Vigo,La Liga,90,6.75
Sergio Herrera,J25,GK,Osasuna,La Liga,90,7.64
Antonio Sivera,J25,GK,Alavés,La Liga,90,5.87
Joan García,J25,GK,Espanyol,La Liga,90,8.96
Augusto Batalla,J25,GK,Rayo Vallecano,La Liga,90,6.95
Diego Conde,J25,GK,Villarreal,La Liga,90,8.16
Giorgi Mamardashvili,J25,GK,Valencia,La Liga,90,4.05
Jan Oblak,J25,GK,Atlético Madrid,La Liga,90,7.34
Jasper Cillessen,J25,GK,Las Palmas,La Liga,90,5.22
Wojciech Szczęsny,J25,GK,Barcelona,La Liga,90,7.37
Unai Simón,J25,GK,Athletic Club,La Liga,90,5.5
Karl Jakob Hein,J25,GK,Valladolid,La Liga,90,4.8
Thibaut Courtois,J25,GK,Real Madrid,La Liga,90,7.3
Paulo Gazzaniga,J25,GK,Girona,La Liga,90,4.98
David Soria,J25,GK,Getafe,La Liga,90,5.59
Adrián,J25,GK,Betis,La Liga,90,6.33
Wladimiro Falcone,J17,GK,Lecce,Serie A,90,6.12
Ivan Provedel,J17,GK,Lazio,Serie A,90,5.19
Álex Remiro,J25,GK,Real Sociedad,La Liga,90,8.4
Marko Dmitrović,J25,GK,Leganés,La Liga,90,4.86
Ørjan Nyland,J25,GK,Sevilla,La Liga,90,6.09
Dominik Greif,J25,GK,Mallorca,La Liga,90,6.1
Karl Jakob Hein,J26,GK,Valladolid,La Liga,90,5.28
Jasper Cillessen,J26,GK,Las Palmas,La Liga,90,7.87
Paulo Gazzaniga,J26,GK,Girona,La Liga,90,6.44
Vicente Guaita,J26,GK,Celta Vigo,La Liga,90,5.28
Augusto Batalla,J26,GK,Rayo Vallecano,La Liga,90,6.4
Ørjan Nyland,J26,GK,Sevilla,La Liga,90,7.03
Adrián,J26,GK,Betis,La Liga,90,5.77
Thibaut Courtois,J26,GK,Real Madrid,La Liga,90,4.69
Jan Oblak,J26,GK,Atlético Madrid,La Liga,90,7.35
Unai Simón,J26,GK,Athletic Club,La Liga,90,6.74
Marko Dmitrović,J26,GK,Leganés,La Liga,90,7.39
David Soria,J26,GK,Getafe,La Liga,90,5.83
Wojciech Szczęsny,J26,GK,Barcelona,La Liga,90,6.64
Álex Remiro,J26,GK,Real Sociedad,La Liga,90,4.37
Dominik Greif,J26,GK,Mallorca,La Liga,90,7.57
Antonio Sivera,J26,GK,Alavés,La Liga,90,6.37
Mile Svilar,J17,GK,Roma,Serie A,90,7.92
Zion Suzuki,J17,GK,Parma,Serie A,90,4.58
Sergio Herrera,J26,GK,Osasuna,La Liga,90,4.82
Giorgi Mamardashvili,J26,GK,Valencia,La Liga,90,4.84
Vicente Guaita,J27,GK,Celta Vigo,La Liga,90,6.48
Marko Dmitrović,J27,GK,Leganés,La Liga,90,5.06
Antonio Sivera,J27,GK,Alavés,La Liga,57,7.04
Adrian Rodriguez,J27,GK,Alavés,La Liga,32,7.18
Diego Conde,J27,GK,Villarreal,La Liga,90,6.16
Giorgi Mamardashvili,J27,GK,Valencia,La Liga,90,6.51
Karl Jakob Hein,J27,GK,Valladolid,La Liga,90,5.47
David Soria,J27,GK,Getafe,La Liga,90,6.28
Jan Oblak,J27,GK,Atlético Madrid,La Liga,90,5.1
Andriy Lunin,J27,GK,Real Madrid,La Liga,90,5.89
Augusto Batalla,J27,GK,Rayo Vallecano,La Liga,90,5.09
Adrián,J27,GK,Betis,La Liga,90,7.09
Jasper Cillessen,J27,GK,Las Palmas,La Liga,90,7.07
Unai Simón,J27,GK,Athletic Club,La Liga,90,5.87
Dominik Greif,J27,GK,Mallorca,La Liga,90,5.45
Unai Marrero,J27,GK,Real Sociedad,La Liga,90,6.61
Ørjan Nyland,J27,GK,Sevilla,La Liga,90,8.37
Joan García,J27,GK,Espanyol,La Liga,90,6.58
Paulo Gazzaniga,J27,GK,Girona,La Liga,90,5.21
Filip Stankovic,J17,GK,Venezia,Serie A,90,7.35
Alen Sherri,J17,GK,Cagliari,Serie A,90,5.86
Jasper Cillessen,J28,GK,Las Palmas,La Liga,90,5.25
Adrian Rodriguez,J28,GK,Alavés,La Liga,90,5.25
Karl Jakob Hein,J28,GK,Valladolid,La Liga,90,5.63
Vicente Guaita,J28,GK,Celta Vigo,La Liga,90,7.28
Dominik Greif,J28,GK,Mallorca,La Liga,90,5.0
Joan García,J28,GK,Espanyol,La Liga,90,6.97
Diego Conde,J28,GK,Villarreal,La Liga,90,4.9
Thibaut Courtois,J28,GK,Real Madrid,La Liga,90,6.37
Paulo Gazzaniga,J28,GK,Girona,La Liga,90,6.29
Giorgi Mamardashvili,J28,GK,Valencia,La Liga,90,6.49
Marko Dmitrović,J28,GK,Leganés,La Liga,90,5.08
Adrián,J28,GK,Betis,La Liga,90,4.77
Ørjan Nyland,J28,GK,Sevilla,La Liga,90,6.21
Unai Simón,J28,GK,Athletic Club,La Liga,90,8.48
Sergio Herrera,J28,GK,Osasuna,La Liga,90,4.88
David Soria,J28,GK,Getafe,La Liga,90,6.53
Augusto Batalla,J28,GK,Rayo Vallecano,La Liga,90,5.0
Álex Remiro,J28,GK,Real Sociedad,La Liga,90,5.35
Jan Oblak,J28,GK,Atlético Madrid,La Liga,90,4.55
Wojciech Szczęsny,J28,GK,Barcelona,La Liga,90,5.44
Marco Carnesecchi,J17,GK,Atalanta,Serie A,90,4.84
Devis Vásquez,J17,GK,Empoli,Serie A,90,6.08
Wojciech Szczęsny,J27,GK,Barcelona,La Liga,90,6.94
Sergio Herrera,J27,GK,Osasuna,La Liga,90,5.05
Álex Remiro,J29,GK,Real Sociedad,La Liga,90,6.19
Arnau Rafús,J29,GK,Valladolid,La Liga,90,4.9
Joan García,J29,GK,Espanyol,La Liga,90,5.24
Jan Oblak,J29,GK,Atlético Madrid,La Liga,90,5.85
Antonio Sivera,J29,GK,Alavés,La Liga,90,5.09
Augusto Batalla,J29,GK,Rayo Vallecano,La Liga,90,8.92
Andriy Lunin,J29,GK,Real Madrid,La Liga,90,5.49
Marko Dmitrović,J29,GK,Leganés,La Liga,90,5.4
David Soria,J29,GK,Getafe,La Liga,90,6.36
Luiz Lúcio Reis Júnior,J29,GK,Villarreal,La Liga,90,6.28
Wojciech Szczęsny,J29,GK,Barcelona,La Liga,90,5.63
Paulo Gazzaniga,J29,GK,Girona,La Liga,90,5.02
Giorgi Mamardashvili,J29,GK,Valencia,La Liga,90,7.79
Dominik Greif,J29,GK,Mallorca,La Liga,90,5.98
Unai Simón,J29,GK,Athletic Club,La Liga,90,7.73
Aitor Fernández,J29,GK,Osasuna,La Liga,90,9.0
Adrián,J29,GK,Betis,La Liga,90,5.48
Ørjan Nyland,J29,GK,Sevilla,La Liga,90,4.92
Stefano Turati,J17,GK,Monza,Serie A,90,6.13
Michele Di Gregorio,J17,GK,Juventus,Serie A,90,6.8
Vicente Guaita,J29,GK,Celta Vigo,La Liga,90,5.24
Dinko Horkaš,J29,GK,Las Palmas,La Liga,64,6.81
Augusto Batalla,J30,GK,Rayo Vallecano,La Liga,90,4.5
Joan García,J30,GK,Espanyol,La Liga,90,8.76
Paulo Gazzaniga,J30,GK,Girona,La Liga,90,6.6
Antonio Sivera,J30,GK,Alavés,La Liga,90,7.75
Fran,J30,GK,Real Madrid,La Liga,90,4.62
Giorgi Mamardashvili,J30,GK,Valencia,La Liga,90,7.16
Dominik Greif,J30,GK,Mallorca,La Liga,90,5.23
Vicente Guaita,J30,GK,Celta Vigo,La Liga,90,5.63
Wojciech Szczęsny,J30,GK,Barcelona,La Liga,90,5.03
Adrián,J30,GK,Betis,La Liga,90,6.81
Dinko Horkaš,J30,GK,Las Palmas,La Liga,90,4.9
Álex Remiro,J30,GK,Real Sociedad,La Liga,90,7.06
Ørjan Nyland,J30,GK,Sevilla,La Liga,90,5.52
Jan Oblak,J30,GK,Atlético Madrid,La Liga,90,6.41
André Ferreira,J30,GK,Valladolid,La Liga,90,4.49
David Soria,J30,GK,Getafe,La Liga,90,7.47
Luiz Lúcio Reis Júnior,J30,GK,Villarreal,La Liga,90,7.59
Unai Simón,J30,GK,Athletic Club,La Liga,90,8.81
David de Gea,J17,GK,Fiorentina,Serie A,90,5.26
Razvan Sava,J17,GK,Udinese,Serie A,90,6.55
Marko Dmitrović,J30,GK,Leganés,La Liga,90,7.43
Sergio Herrera,J30,GK,Osasuna,La Liga,90,7.39
Giorgi Mamardashvili,J31,GK,Valencia,La Liga,90,8.69
Ørjan Nyland,J31,GK,Sevilla,La Liga,90,6.94
Álex Remiro,J31,GK,Real Sociedad,La Liga,90,4.5
Dominik Greif,J31,GK,Mallorca,La Liga,90,8.8
David Soria,J31,GK,Getafe,La Liga,90,4.38
Dinko Horkaš,J31,GK,Las Palmas,La Liga,90,7.03
Vicente Guaita,J31,GK,Celta Vigo,La Liga,90,4.9
Joan García,J31,GK,Espanyol,La Liga,90,8.6
Marko Dmitrović,J31,GK,Leganés,La Liga,90,6.07
Wojciech Szczęsny,J31,GK,Barcelona,La Liga,90,7.13
Sergio Herrera,J31,GK,Osasuna,La Liga,90,6.36
Paulo Gazzaniga,J31,GK,Girona,La Liga,90,5.15
Jesús Owono,J31,GK,Alavés,La Liga,90,5.79
Thibaut Courtois,J31,GK,Real Madrid,La Liga,90,8.56
Adrián,J31,GK,Betis,La Liga,90,4.78
Luiz Lúcio Reis Júnior,J31,GK,Villarreal,La Liga,90,6.36
Unai Simón,J31,GK,Athletic Club,La Liga,90,5.78
Augusto Batalla,J31,GK,Rayo Vallecano,La Liga,90,4.69
Yann Sommer,J17,GK,Inter,Serie A,90,8.06
Pepe Reina,J17,GK,Como,Serie A,90,4.9
Jan Oblak,J31,GK,Atlético Madrid,La Liga,90,4.41
André Ferreira,J31,GK,Valladolid,La Liga,90,4.81
Joan García,J32,GK,Espanyol,La Liga,90,9.08
David Soria,J32,GK,Getafe,La Liga,90,6.18
Augusto Batalla,J32,GK,Rayo Vallecano,La Liga,90,6.53
Giorgi Mamardashvili,J32,GK,Valencia,La Liga,90,5.56
Wojciech Szczęsny,J32,GK,Barcelona,La Liga,90,5.34
Vicente Guaita,J32,GK,Celta Vigo,La Liga,90,4.1
Dominik Greif,J32,GK,Mallorca,La Liga,90,7.2
Marko Dmitrović,J32,GK,Leganés,La Liga,90,7.28
Dinko Horkaš,J32,GK,Las Palmas,La Liga,90,8.85
Jan Oblak,J32,GK,Atlético Madrid,La Liga,90,5.68
André Ferreira,J32,GK,Valladolid,La Liga,90,4.61
Sergio Herrera,J32,GK,Osasuna,La Liga,90,5.09
Luiz Lúcio Reis Júnior,J32,GK,Villarreal,La Liga,90,5.5
Álex Remiro,J32,GK,Real Sociedad,La Liga,90,5.72
Ørjan Nyland,J32,GK,Sevilla,La Liga,90,6.4
Antonio Sivera,J32,GK,Alavés,La Liga,90,6.32
Thibaut Courtois,J32,GK,Real Madrid,La Liga,90,6.79
Unai Simón,J32,GK,Athletic Club,La Liga,90,6.31
Devis Vásquez,J18,GK,Empoli,Serie A,90,6.19
Nicola Leali,J18,GK,Genoa,Serie A,90,7.59
Paulo Gazzaniga,J32,GK,Girona,La Liga,90,4.36
Adrián,J32,GK,Betis,La Liga,90,5.87
Giorgi Mamardashvili,J33,GK,Valencia,La Liga,90,6.14
Joan García,J33,GK,Espanyol,La Liga,90,7.76
Wojciech Szczęsny,J33,GK,Barcelona,La Liga,90,6.67
Leo Román,J33,GK,Mallorca,La Liga,90,7.78
Vicente Guaita,J33,GK,Celta Vigo,La Liga,90,7.07
Luiz Lúcio Reis Júnior,J33,GK,Villarreal,La Liga,90,4.95
Unai Simón,J33,GK,Athletic Club,La Liga,90,7.81
Dinko Horkaš,J33,GK,Las Palmas,La Liga,90,6.61
Antonio Sivera,J33,GK,Alavés,La Liga,90,7.53
Álex Remiro,J33,GK,Real Sociedad,La Liga,90,5.47
David Soria,J33,GK,Getafe,La Liga,90,6.67
Thibaut Courtois,J33,GK,Real Madrid,La Liga,90,8.69
Sergio Herrera,J33,GK,Osasuna,La Liga,90,8.47
Ørjan Nyland,J33,GK,Sevilla,La Liga,90,5.42
Marko Dmitrović,J33,GK,Leganés,La Liga,90,5.95
Paulo Gazzaniga,J33,GK,Girona,La Liga,90,5.81
Jan Oblak,J33,GK,Atlético Madrid,La Liga,90,8.01
Augusto Batalla,J33,GK,Rayo Vallecano,La Liga,90,5.46
Alex Meret,J2,GK,Napoli,Serie A,90,7.54
Łukasz Skorupski,J2,GK,Bologna,Serie A,90,4.85
Zion Suzuki,J18,GK,Parma,Serie A,90,6.34
Stefano Turati,J18,GK,Monza,Serie A,90,4.59
Adrián,J33,GK,Betis,La Liga,90,6.3
André Ferreira,J33,GK,Valladolid,La Liga,90,3.75
Luiz Lúcio Reis Júnior,J26,GK,Villarreal,La Liga,90,7.47
Joan García,J26,GK,Espanyol,La Liga,90,7.19
Dani Cárdenas,J34,GK,Rayo Vallecano,La Liga,90,7.41
David Soria,J34,GK,Getafe,La Liga,90,6.66
Antonio Sivera,J34,GK,Alavés,La Liga,90,8.57
Jan Oblak,J34,GK,Atlético Madrid,La Liga,90,7.78
Luiz Lúcio Reis Júnior,J34,GK,Villarreal,La Liga,90,4.91
Sergio Herrera,J34,GK,Osasuna,La Liga,90,4.19
Dinko Horkaš,J34,GK,Las Palmas,La Liga,90,5.05
Giorgi Mamardashvili,J34,GK,Valencia,La Liga,90,4.88
André Ferreira,J34,GK,Valladolid,La Liga,90,5.89
Marc-André ter Stegen,J34,GK,Barcelona,La Liga,90,5.87
Thibaut Courtois,J34,GK,Real Madrid,La Liga,90,6.0
Vicente Guaita,J34,GK,Celta Vigo,La Liga,90,4.32
Ørjan Nyland,J34,GK,Sevilla,La Liga,90,4.97
Marko Dmitrović,J34,GK,Leganés,La Liga,90,6.82
Joan García,J34,GK,Espanyol,La Liga,90,7.02
