Player,Team,League,Position,General Position,Nationality,Age,Rating,Minutes,Matches,Average Rating
Antonee Robinson,Fulham,English Premier League,LB,Defender,USA,28,43.8,513,8,5.48
Antoni Kozubal,Lech Poznań,UEFA Europa Conference League,DM,Midfielder,POL,21,22.7,392,6,3.78
Antoni Milambo,Brentford,English Premier League,AM,Forward,NED,20,2.7,45,1,2.7
Antonino Gallo,Lecce,Italian Serie A,LB,Defender,ITA,25,78.2,1391,17,4.6
Antonio Blanco,Alavés,Spanish La Liga,CM,Midfielder,ESP,25,82.0,1385,16,5.12
Antonio Caracciolo,Pisa,Italian Serie A,CB,Defender,ITA,35,77.2,1549,18,4.29
Antonio García Montero,Red Imps,UEFA Europa Conference League,CM,Midfielder,ESP,34,21.8,477,6,3.63
Antonio Ivancic,Zrinjski Mostar,UEFA Europa Conference League,CM,Midfielder,CRO,30,14.8,207,5,2.96
Antonio Milić,Lech Poznań,UEFA Europa Conference League,CB,Defender,CRO,31,9.8,157,2,4.9
Antonio Nusa,RB Leipzig,German Bundesliga,LW,Forward,NOR,20,78.8,835,12,6.57
Antonio Raillo,Mallorca,Spanish La Liga,CB,Defender,ESP,34,75.7,1620,18,4.21
Antonio Rüdiger,Real Madrid,"Spanish La Liga, UEFA Champions League",CB,Defender,GER,32,33.6,695,8,4.2
Antonio Sanabria,Cremonese,Italian Serie A,AM,Forward,PAR,29,44.6,534,14,3.19
Antonio Sánchez,Mallorca,Spanish La Liga,DM,Forward,ESP,29,46.4,553,14,3.31
Antonio Vergara,Napoli,"Italian Serie A, UEFA Champions League",CM,Forward,ITA,22,5.6,18,4,1.4
Antonio Čolak,Legia Warsaw,UEFA Europa Conference League,AM,Forward,CRO,32,19.5,279,6,3.25
Antoniu,Espanyol,Spanish La Liga,RW,Forward,ESP,23,16.7,86,6,2.78
Antony,Betis,"Spanish La Liga, UEFA Europa League",RW,Forward,BRA,25,124.1,1471,18,6.89
António Silva,Benfica,UEFA Champions League,CB,Defender,POR,22,18.6,357,5,3.72
Anzor Mekvabishvili,CS U Craiova,UEFA Europa Conference League,CM,Midfielder,GEO,24,26.4,406,6,4.4
Ao Tanaka,Leeds United,English Premier League,CM,Midfielder,JPN,27,65.9,709,17,3.88
Aral Şimşir,Midtjylland,UEFA Europa League,AM,Forward,DEN,23,38.3,239,6,6.38
Arb Manaj,KF Drita,UEFA Europa Conference League,AM,Forward,KVX,27,16.4,383,5,3.28
Arbin Zejnulai,Shkëndija 79,UEFA Europa Conference League,AM,Midfielder,ALB,26,24.9,379,7,3.56
Arbër Hoxha,Dinamo Zagreb,UEFA Europa League,LM,Forward,ALB,27,21.8,436,6,3.63
Archie Brown,Fenerbahçe,UEFA Europa League,LB,Defender,ENG,23,24.4,510,6,4.07
Archie Gray,Tottenham,"English Premier League, UEFA Champions League",DM,Midfielder,ENG,19,48.6,830,14,3.47
Arda Güler,Real Madrid,"Spanish La Liga, UEFA Champions League",AM,Midfielder,TUR,20,152.6,1550,25,6.1
Arda Ünyay,Galatasaray,UEFA Champions League,CB,Defender,TUR,18,4.5,36,1,4.5
Ardian Ismajli,Torino,Italian Serie A,CB,Defender,ALB,29,47.8,866,12,3.98
Ardon Jashari,Milan,Italian Serie A,AM,Forward,SUI,23,6.9,38,2,3.45
Arijon Ibrahimović,Heidenheim,German Bundesliga,AM,Forward,GER,20,77.0,1096,15,5.13
