Player,Team,League,Position,General Position,Nationality,Age,Rating,Minutes,Matches,Average Rating
Daniel Batz,Mainz 05,"German Bundesliga, UEFA Europa Conference League",GK,Goalkeeper,GER,34,45.43,540,6,7.57
Daniel Heuer Fernandes,Hamburger SV,German Bundesliga,GK,Goalkeeper,POR,33,95.26,1440,16,5.95
Daniele Padelli,Udinese,Italian Serie A,GK,Goalkeeper,ITA,40,8.35,180,2,4.18
Daniele Sommariva,Genoa,Italian Serie A,GK,Goalkeeper,ITA,28,12.37,176,2,6.18
David Raya,Arsenal,"English Premier League, UEFA Champions League",GK,Goalkeeper,ESP,30,153.35,2430,27,5.68
David Soria,Getafe,Spanish La Liga,GK,Goalkeeper,ESP,32,115.54,1710,19,6.08
David de Gea,Fiorentina,"Italian Serie A, UEFA Europa Conference League",GK,Goalkeeper,ESP,35,134.79,2160,24,5.62
Dean Henderson,Crystal Palace,"English Premier League, UEFA Europa Conference League",GK,Goalkeeper,ENG,28,150.3,2250,25,6.01
Diant Ramaj,Heidenheim,German Bundesliga,GK,Goalkeeper,GER,24,97.81,1440,16,6.11
Dimitar Mitov,Aberdeen,UEFA Europa Conference League,GK,Goalkeeper,BUL,28,30.23,540,6,5.04
Diogo Costa,Porto,UEFA Europa League,GK,Goalkeeper,POR,26,27.12,540,6,4.52
Dmytro Riznyk,Shakhtar,UEFA Europa Conference League,GK,Goalkeeper,UKR,26,10.49,180,2,5.24
Dominik Greif,Lyon,"French Ligue 1, UEFA Europa League",GK,Goalkeeper,SVK,28,99.55,1530,17,5.86
Dominik Kotarski,FC Copenhagen,UEFA Champions League,GK,Goalkeeper,CRO,25,28.84,540,6,4.81
Dominik Takáč,Slovan Bratislava,UEFA Europa Conference League,GK,Goalkeeper,SVK,26,27.91,450,5,5.58
Donovan Léon,Auxerre,French Ligue 1,GK,Goalkeeper,GUF,33,88.69,1304,15,5.91
Dávid Gróf,Ferencváros,UEFA Europa League,GK,Goalkeeper,HUN,36,6.02,90,1,6.02
Dénes Dibusz,Ferencváros,UEFA Europa League,GK,Goalkeeper,HUN,35,27.14,450,5,5.43
Ed McGinty,"Shamrock Rov, Shamrock Rovers",UEFA Europa Conference League,GK,Goalkeeper,IRL,26,31.87,540,6,5.31
Ederson,Fenerbahçe,UEFA Europa League,GK,Goalkeeper,BRA,32,34.17,540,6,5.7
Edoardo Corvi,Parma,Italian Serie A,GK,Goalkeeper,ITA,24,47.33,720,8,5.92
Elia Caprile,Cagliari,Italian Serie A,GK,Goalkeeper,ITA,24,126.3,1800,20,6.32
Elías Rafn Ólafsson,Midtjylland,UEFA Europa League,GK,Goalkeeper,ISL,25,41.95,540,6,6.99
Emil Audero,Cremonese,Italian Serie A,GK,Goalkeeper,IDN,28,101.19,1440,16,6.32
Emiliano Martínez,Aston Villa,"English Premier League, UEFA Europa League",GK,Goalkeeper,ARG,33,116.34,1755,20,5.82
Etrit Berisha,Häcken,UEFA Europa Conference League,GK,Goalkeeper,ALB,36,27.53,450,5,5.51
Fabiano,AC Omonia,UEFA Europa Conference League,GK,Goalkeeper,CYP,37,9.63,180,2,4.81
Faton Maloku,KF Drita,UEFA Europa Conference League,GK,Goalkeeper,KVX,34,29.18,450,5,5.84
Federico Ravaglia,Bologna,"Italian Serie A, UEFA Europa League",GK,Goalkeeper,ITA,26,69.86,990,11,6.35
Filip Jørgensen,Chelsea,"English Premier League, UEFA Champions League",GK,Goalkeeper,DEN,23,13.35,263,3,4.45
Finn Dahmen,Augsburg,German Bundesliga,GK,Goalkeeper,GER,27,88.47,1440,16,5.53
Florian Wiegele,Viktoria Plzeň,UEFA Europa League,GK,Goalkeeper,AUT,24,16.93,180,2,8.46
Francis Uzoho,AC Omonia,UEFA Europa Conference League,GK,Goalkeeper,NGA,27,28.55,360,4,7.14
Franco Israel,Torino,Italian Serie A,GK,Goalkeeper,URU,25,47.29,810,9,5.25
Frederik Rønnow,Union Berlin,German Bundesliga,GK,Goalkeeper,DEN,33,94.75,1440,16,5.92
