Nation,Position,Team,Age,Born,Matches Played,Starts,Minutes Played,Line Index,Passes Index
hu HUN,GK,de RB Leipzig,33,1990,16,16,1440,53,26
pl POL,GK,Monaco,23,1999,12,12,1080,68,39
it ITA,GK,Inter,29,1993,1,0,23,64,58
es ESP,GK,Granada,35,1988,4,4,280,36,42
eng ENG,GK,Crystal Palace,29,1994,1,0,4,28,50
es ESP,GK,Chelsea,25,1997,16,16,1433,63,52
se SWE,GK,Aston Villa,33,1990,7,6,585,51,48
de GER,GK,Mainz 05,28,1994,30,30,2700,53,62
il ISR,GK,il Maccabi Tel Aviv,30,1992,4,4,390,33,38
nl NED,GK,nl AZ Alkmaar,19,2004,1,1,90,31,65
es ESP,GK,Marseille,28,1995,3,2,211,35,39
pt POR,GK,Roma,35,1988,23,23,2070,44,37
pt POR,GK,Betis,29,1994,34,34,3015,61,47
fr FRA,GK,Nantes,27,1996,6,6,540,63,73
fr FRA,GK,Lyon,35,1987,3,3,270,41,28
eng ENG,GK,Crystal Palace,30,1993,20,20,1796,39,50
it ITA,GK,Empoli,25,1997,1,1,90,31,30
be BEL,GK,be Antwerp,21,2002,1,1,90,51,70
es ESP,GK,Osasuna,30,1993,32,32,2869,51,71
nl NED,GK,bg Ludogorets,33,1990,5,5,450,45,56
il ISR,GK,il Maccabi Haifa,22,2001,9,9,810,66,63
be BEL,GK,be Club Brugge,35,1988,8,8,720,59,54
hr CRO,GK,bg Ludogorets,30,1993,3,3,270,47,40
it ITA,GK,Cagliari,37,1986,1,0,1,31,38
it ITA,GK,Hellas Verona,28,1995,1,1,90,54,57
it ITA,GK,Cagliari,27,1996,31,31,2789,34,48
de GER,GK,Manchester City,30,1992,12,8,905,48,53
it ITA,GK,Frosinone,21,2001,31,31,2745,49,31
fr FRA,GK,Rennes,38,1985,41,41,3690,50,42
mk MKD,GK,Rayo Vallecano,29,1993,37,37,3330,57,50
de GER,GK,de Bayern Munich,34,1988,14,14,1260,42,38
be BEL,GK,Real Madrid,31,1992,5,5,422,66,38
be BEL,GK,Luton Town,30,1992,38,38,3405,46,68
al ALB,GK,Brentford,28,1995,2,1,135,51,77
de GER,GK,nl Feyenoord,27,1995,4,4,390,36,44
