Player,Nation,Position,Team,Age,Born,Matches Played,Starts,Minutes Played,Offensive Index,Passing Index,Possession Index,Defensive Index
Tomi Horvat,si SVN,MF,at Sturm Graz,24,1999,9,5,479,53,82,69,54
Tomislav Kiš,hr CRO,MF,ba Zrinjski Mostar,29,1994,6,0,163,47,62,16,59
Tommaso Augello,it ITA,DF,Cagliari,28,1994,32,28,2418,75,67,74,34
Tommaso Baldanzi,it ITA,MO,Empoli,20,2003,32,15,1399,50,49,55,27
Tommaso Corazza,it ITA,DF,Bologna,19,2004,9,1,195,45,69,77,63
Tommaso De Nipoti,it ITA,FW,it Atalanta,20,2003,1,0,2,38,13,7,13
Tommaso Del Lungo,it ITA,DF,it Atalanta,19,2003,1,1,90,45,37,48,75
Tommaso Martinelli,it ITA,GK,Fiorentina,17,2006,1,1,90,40,38,43,34
Tommaso Pobega,it ITA,MF,it Milan,24,1999,15,5,468,37,26,51,79
Tommi O'Reilly,eng ENG,MF,eng Aston Villa,19,2003,1,0,12,28,24,18,12
Tommy Doyle,eng ENG,MF,Wolves,21,2001,26,11,1222,33,55,45,40
Tomoki Iwata,jp JPN,MO,sct Celtic,26,1997,3,1,62,23,24,7,62
Tomás Araújo,pt POR,DF,pt Benfica,21,2002,3,1,161,44,38,50,62
Tomás Mendes,es ESP,MF,Alavés,18,2004,1,0,6,28,10,21,7
Tomáš Chorý,cz CZE,FW,cz Viktoria Plzeň,28,1995,8,8,664,52,50,44,79
Tomáš Holeš,cz CZE,DF,cz Slavia Prague,30,1993,7,7,559,27,65,54,75
Tomáš Koubek,cz CZE,GK,Augsburg,30,1992,3,3,270,40,43,43,35
Tomáš Pekhart,cz CZE,FW,pl Legia Warsaw,34,1989,5,4,276,16,34,18,60
Tomáš Souček,cz CZE,MF,West Ham,28,1995,47,41,3546,64,39,22,60
Tomáš Suslov,sk SVK,MO,Hellas Verona,21,2002,32,23,2092,43,52,39,56
Tomáš Vlček,cz CZE,DF,cz Slavia Prague,22,2001,5,4,328,40,51,72,35
Tomáš Wiesner,cz CZE,MF,cz Sparta Prague,26,1997,6,2,311,30,24,66,30
Tomáš Čvančara,cz CZE,FW,Gladbach,22,2000,21,7,896,48,45,35,52
Toni Kroos,de GER,MF,es Real Madrid,33,1990,45,34,2982,60,93,58,52
Toni Lato,es ESP,DF,Mallorca,25,1997,28,16,1544,49,55,79,50
Toni Martínez,es ESP,FW,pt Porto,26,1997,2,0,7,24,26,7,34
Toni Villa,es ESP,FW,Girona,28,1995,2,0,13,42,30,67,13
Tonny Vilhena,nl NED,MF,gr Panathinaikos,28,1995,6,3,316,36,80,59,53
Tony Jantschke,de GER,MF,Gladbach,33,1990,4,0,27,28,35,16,96
Topi Keskinen,fi FIN,MO,fi HJK,20,2003,6,5,422,28,30,50,62
Toral Bayramov,az AZE,MF,az Qarabağ,22,2001,10,2,335,62,52,28,86
