Nation,Position,Team,Age,Born,Matches Played,Starts,Minutes Played,Offensive Index,Passing Index,Possession Index,Defensive Index
ar ARG,DF,Banfield,26,1997,11,11,958,23,19,17,54
co COL,MO,Estudiantes–LP,21,2003,20,13,1088,59,71,78,50
ar ARG,MO,Cen. Córdoba–SdE,19,2004,11,6,553,19,45,56,27
ar ARG,DF,Defensa y Just,30,1993,21,16,1496,62,84,75,52
mx MEX,MO,Toluca,25,1997,21,15,1361,71,73,57,48
br BRA,MF,Fluminense,20,2003,19,10,1033,48,55,63,52
cz CZE,DF,Spezia,27,1996,34,33,2846,63,58,59,49
eng ENG,MO,Plymouth Argyle,18,2004,15,9,850,23,54,41,53
eng ENG,DF,Hull City,25,1997,45,45,4050,48,61,46,35
py PAR,FW,py Cerro Porteño,28,1995,4,2,222,29,51,44,25
is ISL,DF,Twente,25,1998,24,18,1541,50,72,62,52
mx MEX,MO,León,23,2000,26,16,1489,50,36,27,51
mx MEX,GK,León,36,1987,2,2,180,56,42,44,32
mx MEX,MO,Monterrey,28,1994,20,11,880,63,79,50,74
uy URU,MO,Arouca,24,1999,24,8,840,28,38,41,65
it ITA,FW,Catanzaro,32,1990,20,5,580,63,64,56,48
mx MEX,DF,Necaxa,20,2003,1,1,82,43,30,9,62
us USA,MF,SJ Earthquakes,33,1990,23,4,649,40,48,45,40
mx MEX,GK,FC Juárez,40,1982,17,17,1469,60,46,56,38
is ISL,FW,Eupen,34,1989,27,11,1123,42,70,48,38
ng NGA,MF,NE Revolution,23,2000,27,16,1541,48,75,69,64
ca CAN,MF,Vancouver W'caps,23,2000,22,15,1350,73,59,89,46
iq IRQ,FW,Ipswich Town,21,2002,14,1,293,90,45,83,56
ir IRN,FW,Gil Vicente FC,27,1995,19,9,804,37,40,41,45
fr FRA,MF,Venezia,19,2004,14,0,171,85,37,87,71
mx MEX,MO,UNAM,19,2003,11,3,375,64,23,28,32
gm GAM,MO,Genk,21,2001,16,12,965,81,64,71,58
sn SEN,MO,Estrela,22,2001,9,0,169,61,53,67,60
ir IRN,MO,Feyenoord,29,1993,16,3,459,62,88,88,89
