Nation,Position,Team,Age,Born,Matches Played,Starts,Minutes Played,Line Index,Passes Index
ar ARG,GK,Gimnasia–LP,27,1996,18,18,1620,61,60
nl NED,GK,RKC Waalwijk,26,1997,1,1,90,61,79
ie IRL,GK,Stoke City,24,1999,13,13,1170,58,75
be BEL,GK,Charleroi,19,2004,1,0,1,23,87
cl CHI,GK,cl Huachipato,23,2000,6,6,540,43,52
us USA,GK,Orlando City,26,1997,5,5,388,64,30
ar ARG,GK,San Lorenzo,21,2002,1,1,90,23,1
br BRA,GK,Juventude,29,1994,5,4,406,43,50
br BRA,GK,Cuiabá,31,1992,2,2,180,41,45
br BRA,GK,Braga,31,1992,34,34,3060,42,55
br BRA,GK,Flamengo,22,2001,3,3,270,46,53
br BRA,GK,Corinthians,21,2002,7,7,630,53,30
br BRA,GK,Atlético Mineiro,24,1999,13,12,1087,59,33
au AUS,GK,AZ Alkmaar,31,1992,29,29,2610,61,68
me MNE,GK,Millwall,26,1997,32,32,2880,57,51
us USA,GK,NYCFC,25,1998,34,34,2981,63,39
eng ENG,GK,Hull City,29,1993,10,9,819,26,36
nl NED,GK,Utrecht,29,1993,5,5,450,54,51
ar ARG,GK,ar Estudiantes–LP,27,1996,32,32,2880,42,32
it ITA,GK,Como,33,1990,1,0,22,72,19
ie IRL,GK,Bristol City,26,1996,46,46,4140,60,60
fr FRA,GK,OH Leuven,26,1997,11,11,990,55,74
ca CAN,GK,Portland Timbers,29,1994,20,20,1757,42,71
fr FRA,GK,Anderlecht,30,1993,7,7,630,52,33
nl NED,GK,Heracles Almelo,30,1993,34,34,3060,50,71
eng ENG,GK,Plymouth Argyle,23,1999,19,19,1710,65,68
nl NED,GK,Fortuna Sittard,26,1996,12,12,1080,31,52
it ITA,GK,Brescia,23,2000,5,4,405,78,50
nl NED,GK,Heerenveen,29,1994,12,12,1080,36,60
pt POR,GK,Farense,27,1996,2,2,180,35,48
mx MEX,GK,Guadalajara,33,1990,16,15,1425,58,36
pt POR,GK,Moreirense,32,1991,1,0,14,29,98
nl NED,GK,Zwolle,26,1997,2,2,180,64,66
de GER,GK,Volendam,19,2004,33,32,2881,53,78
it ITA,GK,Palermo,30,1993,36,36,3240,49,53
ec ECU,GK,ec Independiente,23,2000,5,5,450,23,31
br BRA,GK,Arouca,27,1996,2,2,180,18,61
sn SEN,GK,Cremonese,26,1997,12,12,1080,61,35
br BRA,GK,Vitória,36,1987,1,1,90,53,71
br BRA,GK,Ath Paranaense,19,2004,19,17,1565,60,44
ar ARG,GK,UANL,37,1986,24,24,2160,59,64
ar ARG,GK,Belgrano,30,1993,22,22,1980,65,56
ar ARG,GK,Deportivo Riestra,22,2001,2,2,180,44,54
eng ENG,GK,Sunderland,23,1999,1,1,90,11,24
ph PHI,GK,Birmingham City,33,1990,2,2,180,24,47
ar ARG,GK,Gimnasia–LP,28,1995,9,9,809,42,64
gt GUA,GK,Columbus Crew,27,1996,4,3,326,65,26
be BEL,GK,Westerlo,28,1995,4,4,360,39,79
nl NED,GK,Sparta R'dam,27,1995,34,34,3060,62,77
it ITA,GK,Sampdoria,34,1988,1,1,90,45,74
ar ARG,GK,Platense,24,1999,1,1,90,55,39
nl NED,GK,Almere City,25,1997,29,29,2596,63,67
be BEL,GK,Club Brugge,25,1997,3,2,261,62,77
rs SRB,GK,LA Galaxy,22,2001,2,2,180,37,42
br BRA,GK,Pisa,35,1988,31,31,2790,46,40
gr GRE,GK,Benfica,29,1994,1,1,90,29,24
de GER,GK,Philadelphia Union,25,1998,17,14,1408,46,44
py PAR,GK,San Lorenzo,23,2000,1,1,90,36,33
mx MEX,GK,América,34,1988,6,5,495,66,33
us USA,GK,Columbus Crew,22,2001,27,27,2430,53,37
fr FRA,GK,Gent,29,1994,10,10,900,49,47
pe PER,GK,Orlando City,33,1990,29,29,2610,49,30
br BRA,GK,Atl Goianiense,23,2000,6,6,540,53,50
fr FRA,GK,Charleroi,25,1997,4,4,360,43,67
pl POL,GK,Twente,36,1987,2,2,180,39,29
br BRA,GK,Grêmio,33,1990,6,5,457,47,53
ar ARG,GK,Barracas Central,23,2000,8,8,720,48,65
br BRA,GK,br São Paulo,34,1989,35,35,3180,50,41
ar ARG,GK,Newell's OB,26,1997,14,13,1184,39,53
mx MEX,GK,FC Juárez,27,1996,1,0,60,28,41
uy URU,GK,Vélez Sarsfield,20,2003,1,1,90,51,76
mx MEX,GK,Necaxa,27,1996,10,10,855,42,57
pt POR,GK,Casa Pia,36,1986,31,31,2785,51,53
mx MEX,GK,Mazatlán,26,1997,7,5,512,48,52
pt POR,GK,Farense,24,1998,32,32,2880,70,62
it ITA,GK,Modena,26,1997,22,22,1927,50,58
it ITA,GK,Calcio Lecco 1912,29,1994,23,23,2025,43,65
ar ARG,GK,Godoy Cruz,27,1996,1,1,90,53,62
nl NED,GK,NEC Nijmegen,20,2003,5,4,420,55,80
mx MEX,GK,León,36,1987,32,32,2880,44,37
py PAR,GK,py Libertad,25,1998,6,6,540,48,65
br BRA,GK,Chaves,27,1996,7,7,630,36,68
ar ARG,GK,Independiente,32,1991,27,27,2430,65,58
ch SUI,GK,St. Louis,33,1990,32,32,2821,54,62
us USA,GK,FC Cincinnati,23,2000,30,30,2700,50,32
nl NED,GK,AZ Alkmaar,19,2004,4,4,360,29,56
br BRA,GK,Atl Goianiense,27,1996,32,32,2879,57,50
eng ENG,GK,Hull City,31,1992,37,37,3321,45,36
us USA,GK,NY Red Bulls,33,1990,7,7,630,39,31
is ISL,GK,Cardiff City,28,1995,6,6,540,43,45
pt POR,GK,Benfica,21,2002,5,5,450,54,25
at AUT,GK,Almere City,30,1992,6,5,464,58,64
uy URU,GK,co Junior,26,1997,8,8,720,63,53
us USA,GK,Toronto FC,34,1989,25,25,2250,44,40
ca CAN,GK,CF Montréal,25,1998,1,1,90,55,46
it ITA,GK,Palermo,20,2003,2,2,180,39,60
uy URU,GK,pe Universitario,36,1988,6,6,540,26,51
mx MEX,GK,Cruz Azul,25,1997,17,17,1478,45,28
uy URU,GK,uy Liverpool,26,1997,3,3,270,44,30
ar ARG,GK,Huracán,23,2000,3,3,270,58,42
ar ARG,GK,Barracas Central,33,1990,9,9,810,67,59
it ITA,GK,FeralpiSalò,21,2001,38,38,3420,42,67
sn SEN,GK,Middlesbrough,28,1994,35,35,3149,43,40
uy URU,GK,Internacional,30,1993,28,28,2520,56,38
ar ARG,GK,Boca Juniors,36,1987,16,16,1431,59,32
be BEL,GK,Club Brugge,35,1988,28,28,2439,51,60
tr TUR,GK,Westerlo,34,1988,26,26,2340,49,51
us USA,GK,Chicago Fire,31,1992,1,1,90,48,42
ch SUI,GK,Seattle Sounders,37,1986,29,29,2464,53,38
us USA,GK,Houston Dynamo,37,1986,31,31,2772,57,27
nl NED,GK,Excelsior,26,1996,34,34,3060,48,81
uy URU,GK,Unión,27,1996,26,26,2340,64,50
ca CAN,GK,LAFC,24,1999,1,1,90,34,37
ar ARG,GK,Sarmiento,22,2001,1,1,90,56,57
be BEL,GK,RWDM,31,1992,30,30,2679,56,61
br BRA,GK,Toluca,32,1990,34,34,3060,52,55
us USA,GK,Sporting KC,37,1986,28,28,2520,42,41
de GER,GK,Feyenoord,27,1995,19,17,1598,55,49
be BEL,GK,OH Leuven,21,2002,16,16,1440,66,69
au AUS,GK,Middlesbrough,25,1997,12,11,991,43,38
nl NED,GK,Fortuna Sittard,21,2002,1,1,90,66,43
be BEL,GK,Kortrijk,30,1992,21,21,1890,51,63
it ITA,GK,Ternana,23,1999,6,6,540,76,69
eng ENG,GK,Stoke City,18,2004,1,1,90,21,64
ar ARG,GK,Atlé Tucumán,24,1999,27,27,2430,57,59
ar ARG,GK,Vélez Sarsfield,28,1995,26,26,2301,62,44
us USA,GK,D.C. United,30,1993,5,5,450,39,72
it ITA,GK,Calcio Lecco 1912,29,1994,13,12,1125,42,78
ro ROU,GK,OH Leuven,27,1995,3,3,270,36,54
gr GRE,GK,Utrecht,29,1994,29,29,2610,64,63
se SWE,GK,Rotherham Utd,24,1998,45,44,3961,57,75
br BRA,GK,Gil Vicente FC,26,1997,2,2,180,24,25
br BRA,GK,Portimonense,29,1994,14,14,1260,44,69
br BRA,GK,Fluminense,25,1998,1,1,90,32,57
cz CZE,GK,Ipswich Town,32,1990,46,46,4139,46,42
br BRA,GK,Cuiabá,36,1987,36,36,3240,64,59
ar ARG,GK,PSV Eindhoven,30,1993,33,33,2964,54,38
br BRA,GK,Cercle Brugge,26,1996,30,30,2700,59,57
uy URU,GK,uy Peñarol,30,1993,8,8,674,70,42
us USA,GK,SJ Earthquakes,34,1989,19,19,1710,40,60
ve VEN,GK,ve Caracas,25,1998,5,5,369,28,41
br BRA,GK,br Palmeiras,36,1987,44,44,3960,64,44
jp JPN,GK,Vancouver W'caps,27,1996,33,33,2970,47,37
us USA,GK,Real Salt Lake,32,1991,23,23,2070,56,64
us USA,GK,Colorado Rapids,28,1995,33,33,2970,45,49
jp JPN,GK,Sint-Truiden,20,2002,22,22,1980,50,62
co COL,GK,co Millonarios,28,1995,6,6,540,40,35
pe PER,GK,pe Alianza Lima,30,1993,5,5,445,38,49
br BRA,GK,br Atlético Mineiro,33,1990,38,38,3412,52,42
ar ARG,GK,Inter Miami,37,1986,4,4,360,49,72
