Team,Matches Played,Goals,xG,Shots,Shots on Target,Penalties Scored,Penalties Attempted,Shot Creating Actions,Goal Creating Actions,Passes Completed (Total),Passes Attempted (Total),Passes Completed (Short),Passes Attempted (Short),Passes Completed (Medium),Passes Attempted (Medium),Passes Completed (Long),Passes Attempted (Long),Assists,Expected Assists (xA),Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Progressive Passes,Progressive Carries,Progressive Passes Received,Tackles,Tackles Won,Tackles Defensive Third,Tackles Middle Third,Tackles Attacking Third,Challenges Tackled,Challenges Attempted,Challenges Lost,Blocks,Interceptions,Clearances,Errors,Touches,Touches Defensive Penalty Area,Touches Defensive Third,Touches Middle Third,Touches Attacking Third,Touches Attacking Penalty Area,Live-Ball Touches,Take-Ons Attempted,Successful Take-Ons,Carries,Carries into Final Third,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Yellow Cards,Red Cards,Second Yellow Cards,Fouls Committed,Fouls Drawn,Offsides,Penalties Won,Penalties Conceded,Own Goals,Ball Recoveries,Aerial Duels Won,Aerial Duels Lost,Age_goal,Goals Against,Shots on Target Against,Saves,Clean Sheets,Penalty Kicks Attempted,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Post-Shot Expected Goals,Launched Passes Completed,Launched Passes Attempted,Passes Attempted (GK),Through Balls,Goal Kicks Attempted,Crosses Opposed,Crosses Stopped,Sweeper Actions
se Häcken,6,2,7.5,79,29,0,0,134,3,2696,3239,1224,1357,1068,1237,335,487,2,5.3,63,301,54,12,289,108,287,88,58,38,33,17,54,109,55,67,52,66,4,3843,383,1034,1817,1029,125,3843,120,67,2224,89,25,98,55,2667,5,0,0,62,57,6,0,0,0,336,32,47,35,17,34,17,0,0,0,0,0,13.0,19,42,136,30,48,55,1,10
si Olimpija,6,4,5.0,75,24,0,0,123,6,2348,3056,946,1107,1062,1269,274,505,3,3.3,48,198,16,5,202,111,198,100,58,43,47,10,48,86,38,61,44,94,2,3685,385,1149,1729,844,91,3685,100,54,2327,69,25,120,53,2317,14,0,0,86,63,17,0,3,0,324,55,75,46,9,28,18,1,3,2,1,0,10.0,6,41,130,37,51,59,5,5
sk Slovan Bratislava,8,9,11.1,103,29,1,2,188,17,2301,3135,1021,1225,859,1070,330,632,7,7.0,82,187,53,15,228,116,225,109,64,61,43,5,61,135,74,88,86,183,2,4041,523,1466,1620,1003,165,4039,134,69,2118,79,29,128,65,2273,21,4,0,88,98,21,2,1,0,400,139,106,58,12,32,20,1,1,1,0,0,14.5,59,147,176,27,89,126,9,8
sk Spartak Trnava,6,3,3.7,54,18,0,0,88,5,1493,2006,647,756,614,740,190,403,3,3.1,37,112,30,12,143,50,143,96,53,51,38,7,49,117,68,70,71,146,3,2706,391,1005,1172,568,64,2706,99,45,1275,56,6,100,42,1483,14,0,0,81,58,10,0,3,1,265,58,74,24,15,42,27,0,3,1,1,1,17.3,27,109,88,7,58,90,2,1
tr Beşiktaş,6,6,5.1,66,24,0,0,120,6,2499,3036,1058,1174,1087,1230,298,495,3,3.5,50,193,45,17,235,105,233,114,74,71,31,12,58,118,60,77,68,105,2,3695,426,1230,1757,754,94,3695,103,51,2329,75,22,97,37,2471,15,3,2,75,62,10,0,0,1,338,49,57,56,14,41,28,1,0,0,0,0,13.2,36,87,165,28,38,71,2,7
tr Fenerbahçe,10,18,15.7,123,44,2,3,215,30,4790,5850,2048,2314,2188,2504,431,733,13,11.3,91,291,101,25,469,194,463,189,132,87,76,26,97,193,96,113,93,157,6,6921,592,2292,3217,1484,239,6918,194,102,4114,139,54,168,72,4746,18,0,0,131,130,20,2,0,1,518,149,119,53,15,45,31,3,0,0,0,0,12.0,26,94,278,50,54,111,13,9
tr Galatasaray,8,14,12.4,116,32,1,2,208,24,3138,4070,1390,1617,1373,1648,304,586,9,8.9,93,253,70,22,343,135,341,145,92,72,50,23,77,155,78,84,81,149,7,4968,500,1599,2225,1199,174,4966,143,62,3028,119,32,144,55,3112,17,2,0,90,95,19,2,0,0,461,110,136,74,19,37,18,0,0,0,0,0,18.1,46,121,300,39,53,88,5,36
ua Shakhtar,8,12,10.0,89,34,1,1,150,22,2985,3652,1405,1534,1209,1390,292,527,8,6.0,63,172,46,9,205,103,203,134,77,73,47,14,72,159,87,87,70,204,8,4510,679,1960,1867,721,139,4509,91,46,3069,71,29,108,75,2947,24,0,0,107,73,14,1,1,0,353,65,86,48,17,48,31,2,1,0,0,1,13.3,29,75,228,33,46,135,11,12
ua Zorya Luhansk,6,9,6.9,86,37,0,0,147,14,1681,2294,703,826,713,882,235,453,9,3.8,62,139,42,8,179,95,176,74,48,42,25,7,39,82,43,77,104,119,3,3003,416,1158,1223,660,129,3003,88,51,1389,58,28,102,40,1657,16,0,0,56,55,19,0,0,1,347,50,62,60,11,26,16,2,0,0,0,0,8.6,23,80,138,20,50,70,4,6
xk KF Ballkani Therandë,6,3,4.1,58,15,0,0,104,4,2491,3065,995,1135,1135,1319,320,487,2,3.9,45,164,21,6,199,100,198,128,69,71,51,6,72,125,53,57,55,128,2,3796,442,1392,1771,675,72,3796,113,44,2157,85,17,132,64,2479,14,0,0,58,98,11,0,1,0,349,80,92,37,7,21,14,2,1,1,0,0,7.0,10,25,124,37,56,99,8,2
