Player,Nation,Position,Team,Age,Born,Matches Played,Starts,Minutes Played,Goals Against,Shots on Target Against,Saves,Clean Sheets,Penalty Kicks Attempted,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Post-Shot Expected Goals,Launched Passes Completed,Launched Passes Attempted,Passes Attempted (GK),Through Balls,Goal Kicks Attempted,Crosses Opposed,Crosses Stopped,Sweeper Actions,Penaltys Winner,Efficiency,% Saves,% Long Passes,% Crosses Stopped
Kamil Grabara,pl POL,GK,dk FC Copenhagen,24,1999,8,8,720,1.75,5.5,3.75,0.25,0.12,0.12,0.0,0.0,1.66,5.5,15.38,28.0,5.12,8.0,17.25,0.75,0.38,0.0,-0.05,68.18,35.76,4.35
Kelle Roos,nl NED,GK,sct Aberdeen,31,1992,6,6,540,1.67,4.83,3.17,0.17,0.33,0.33,0.0,0.0,1.83,7.5,24.33,26.83,2.0,8.67,17.33,0.5,0.83,0.0,0.09,65.63,30.83,2.89
Kepa Arrizabalaga,es ESP,GK,Real Madrid,28,1994,18,17,1558,0.81,3.06,2.31,0.52,0.06,0.06,0.0,0.0,0.83,2.43,6.53,29.4,4.79,5.14,12.42,0.58,0.69,0.0,0.02,75.49,37.21,4.67
Kevin Müller,de GER,GK,Heidenheim,32,1991,34,34,3060,1.62,5.12,3.56,0.18,0.29,0.21,0.03,0.06,1.58,7.32,17.5,34.24,4.91,9.29,14.56,0.71,0.5,0.09,-0.03,69.53,41.83,4.88
Kevin Trapp,de GER,GK,Eint Frankfurt,33,1990,39,39,3464,1.51,4.13,2.57,0.21,0.29,0.23,0.05,0.0,1.48,2.94,10.76,28.89,4.0,6.34,13.46,0.47,0.88,0.05,-0.02,62.23,27.32,3.49
Keylor Navas,cr CRC,GK,Paris S-G,36,1986,4,4,360,1.5,3.0,1.5,0.25,0.25,0.25,0.0,0.0,1.18,1.0,2.25,20.0,3.0,4.5,9.25,0.0,1.25,0.0,-0.27,50.0,44.44,0.0
Kjell Scherpen,nl NED,GK,at Sturm Graz,23,2000,6,6,540,1.5,4.83,3.33,0.17,0.17,0.17,0.0,0.0,1.93,4.17,15.5,25.33,4.0,8.17,15.67,1.67,0.83,0.0,0.22,68.94,26.9,10.66
Kjetil Haug,no NOR,GK,no Bodø/Glimt,25,1998,2,2,210,1.71,3.43,1.71,0.0,0.43,0.43,0.0,0.0,1.24,1.29,6.86,46.71,4.29,3.43,11.14,1.71,1.29,0.0,-0.38,49.85,18.8,15.35
Koen Casteels,be BEL,GK,Wolfsburg,31,1992,25,25,2250,1.56,4.6,3.12,0.16,0.12,0.08,0.0,0.04,1.46,6.44,15.6,31.44,4.72,6.44,13.4,1.0,1.52,0.04,-0.07,67.83,41.28,7.46
Kostas Tzolakis,gr GRE,GK,gr Olympiacos,20,2002,6,6,630,0.86,4.29,3.43,0.29,0.43,0.29,0.0,0.14,1.1,6.57,25.14,24.57,2.71,7.57,14.14,1.71,1.86,0.14,0.22,79.95,26.13,12.09
Lapo Nava,it ITA,GK,Milan,19,2004,1,0,3,30.0,60.0,30.0,0.0,0.0,0.0,0.0,0.0,27.0,30.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.11,50.0,100.0,
Lorenzo Montipò,it ITA,GK,Hellas Verona,27,1996,37,37,3330,1.32,4.14,2.84,0.22,0.05,0.05,0.0,0.0,1.1,8.73,20.62,25.95,2.95,8.24,13.16,0.59,1.16,0.0,-0.2,68.6,42.34,4.48
Loris Karius,de GER,GK,Newcastle Utd,30,1993,1,1,90,4.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,18.0,27.0,5.0,9.0,10.0,1.0,3.0,0.0,-1.0,57.14,16.67,10.0
Luca Gemello,it ITA,GK,Torino,23,2000,2,2,180,2.5,4.5,2.0,0.0,0.5,0.5,0.0,0.0,1.8,5.0,14.5,52.0,4.0,6.0,12.0,1.5,1.5,0.0,-0.39,44.44,34.48,12.5
Lucas Chevalier,fr FRA,GK,Lille,21,2001,40,40,3629,0.92,3.6,2.68,0.45,0.12,0.07,0.05,0.0,1.03,3.05,10.17,31.0,3.62,3.99,11.09,0.89,1.02,0.05,0.11,74.44,29.99,8.03
Luka Gugeshashvili,ge GEO,GK,az Qarabağ,24,1999,1,0,6,15.0,15.0,0.0,0.0,15.0,15.0,0.0,0.0,15.0,0.0,75.0,30.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Lukáš Hrádecký,fi FIN,GK,Leverkusen,33,1989,33,33,2970,0.73,3.09,2.36,0.45,0.0,0.0,0.0,0.0,0.83,2.15,6.12,22.3,5.0,4.39,9.48,0.82,1.18,0.0,0.12,76.38,35.13,8.65
Luís Maximiano,pt POR,GK,Almería,24,1999,33,33,2970,1.91,5.3,3.36,0.18,0.21,0.12,0.03,0.06,1.81,4.79,16.45,30.15,4.42,8.0,16.7,0.76,1.15,0.09,-0.06,63.4,29.12,4.55
Maarten Vandevoordt,be BEL,GK,be Genk,21,2002,4,4,360,0.75,4.25,3.5,0.5,0.0,0.0,0.0,0.0,0.95,5.0,17.5,36.25,3.75,6.0,11.25,0.5,0.75,0.0,0.21,82.35,28.57,4.44
